MUT;SRUN;SCT;SAVGTCT;SCTCT;TRUN;TCT;TAVGTCT;TCTCT
1;354;354;15,39;15,39;404;404;17,57;17,57
2;244;598;10,61;26,00;286;690;12,43;30,00
3;294;892;12,78;38,78;416;1106;18,09;48,09
4;311;1203;13,52;52,30;363;1469;15,78;63,87
5;237;1440;10,30;62,61;367;1836;15,96;79,83
6;325;1765;14,13;76,74;412;2248;17,91;97,74
7;345;2110;15,00;91,74;412;2660;17,91;115,65
8;377;2487;16,39;108,13;418;3078;18,17;133,83
9;293;2780;12,74;120,87;426;3504;18,52;152,35
10;336;3116;14,61;135,48;422;3926;18,35;170,70
11;264;3380;11,48;146,96;328;4254;14,26;184,96
12;310;3690;13,48;160,43;402;4656;17,48;202,43
13;308;3998;13,39;173,83;419;5075;18,22;220,65
14;308;4306;13,39;187,22;144;5219;6,26;226,91
15;90;4396;3,91;191,13;410;5629;17,83;244,74
16;458;4854;19,91;211,04;407;6036;17,70;262,43
17;307;5161;13,35;224,39;402;6438;17,48;279,91
18;299;5460;13,00;237,39;405;6843;17,61;297,52
19;296;5756;12,87;250,26;406;7249;17,65;315,17
20;310;6066;13,48;263,74;416;7665;18,09;333,26
21;306;6372;13,30;277,04;142;7807;6,17;339,43
22;89;6461;3,87;280,91;147;7954;6,39;345,83
23;94;6555;4,09;285,00;413;8367;17,96;363,78
24;307;6862;13,35;298,35;145;8512;6,30;370,09
25;90;6952;3,91;302,26;145;8657;6,30;376,39
26;91;7043;3,96;306,22;151;8808;6,57;382,96
27;93;7136;4,04;310,26;149;8957;6,48;389,43
28;93;7229;4,04;314,30;413;9370;17,96;407,39
29;306;7535;13,30;327,61;144;9514;6,26;413,65
30;89;7624;3,87;331,48;404;9918;17,57;431,22
31;299;7923;13,00;344,48;143;10061;6,22;437,43
32;90;8013;3,91;348,39;144;10205;6,26;443,70
33;90;8103;3,91;352,30;144;10349;6,26;449,96
34;305;8408;13,26;365,57;143;10492;6,22;456,17
35;91;8499;3,96;369,52;147;10639;6,39;462,57
36;90;8589;3,91;373,43;409;11048;17,78;480,35
37;307;8896;13,35;386,78;413;11461;17,96;498,30
38;305;9201;13,26;400,04;407;11868;17,70;516,00
39;421;9622;18,30;418,35;384;12252;16,70;532,70
40;414;10036;18,00;436,35;410;12662;17,83;550,52
41;343;10379;14,91;451,26;412;13074;17,91;568,43
42;319;10698;13,87;465,13;407;13481;17,70;586,13
43;319;11017;13,87;479,00;405;13886;17,61;603,74
44;317;11334;13,78;492,78;408;14294;17,74;621,48
45;324;11658;14,09;506,87;407;14701;17,70;639,17
46;313;11971;13,61;520,48;416;15117;18,09;657,26
47;310;12281;13,48;533,96;414;15531;18,00;675,26
48;311;12592;13,52;547,48;409;15940;17,78;693,04
49;308;12900;13,39;560,87;421;16361;18,30;711,35
50;312;13212;13,57;574,43;412;16773;17,91;729,26
51;310;13522;13,48;587,91;406;17179;17,65;746,91
52;307;13829;13,35;601,26;413;17592;17,96;764,87
53;309;14138;13,43;614,70;405;17997;17,61;782,48
54;309;14447;13,43;628,13;342;18339;14,87;797,35
55;448;14895;19,48;647,61;407;18746;17,70;815,04
56;308;15203;13,39;661,00;418;19164;18,17;833,22
57;310;15513;13,48;674,48;412;19576;17,91;851,13
58;308;15821;13,39;687,87;411;19987;17,87;869,00
59;306;16127;13,30;701,17;386;20373;16,78;885,78
60;308;16435;13,39;714,57;414;20787;18,00;903,78
61;456;16891;19,83;734,39;417;21204;18,13;921,91
62;308;17199;13,39;747,78;413;21617;17,96;939,87
63;308;17507;13,39;761,17;262;21879;11,39;951,26
64;305;17812;13,26;774,43;417;22296;18,13;969,39
65;308;18120;13,39;787,83;411;22707;17,87;987,26
66;309;18429;13,43;801,26;416;23123;18,09;1005,35
67;308;18737;13,39;814,65;415;23538;18,04;1023,39
68;308;19045;13,39;828,04;418;23956;18,17;1041,57
69;307;19352;13,35;841,39;415;24371;18,04;1059,61
70;310;19662;13,48;854,87;412;24783;17,91;1077,52
71;306;19968;13,30;868,17;417;25200;18,13;1095,65
72;309;20277;13,43;881,61;415;25615;18,04;1113,70
73;309;20586;13,43;895,04;412;26027;17,91;1131,61
74;306;20892;13,30;908,35;407;26434;17,70;1149,30
75;308;21200;13,39;921,74;408;26842;17,74;1167,04
76;308;21508;13,39;935,13;417;27259;18,13;1185,17
77;308;21816;13,39;948,52;409;27668;17,78;1202,96
78;305;22121;13,26;961,78;411;28079;17,87;1220,83
79;309;22430;13,43;975,22;411;28490;17,87;1238,70
80;310;22740;13,48;988,70;411;28901;17,87;1256,57
81;306;23046;13,30;1002,00;408;29309;17,74;1274,30
82;309;23355;13,43;1015,43;412;29721;17,91;1292,22
83;309;23664;13,43;1028,87;412;30133;17,91;1310,13
84;307;23971;13,35;1042,22;367;30500;15,96;1326,09
85;271;24242;11,78;1054,00;150;30650;6,52;1332,61
86;101;24343;4,39;1058,39;372;31022;16,17;1348,78
87;270;24613;11,74;1070,13;156;31178;6,78;1355,57
88;106;24719;4,61;1074,74;409;31587;17,78;1373,35
89;307;25026;13,35;1088,09;412;31999;17,91;1391,26
90;308;25334;13,39;1101,48;413;32412;17,96;1409,22
91;308;25642;13,39;1114,87;406;32818;17,65;1426,87
92;307;25949;13,35;1128,22;409;33227;17,78;1444,65
93;307;26256;13,35;1141,57;406;33633;17,65;1462,30
94;308;26564;13,39;1154,96;413;34046;17,96;1480,26
95;309;26873;13,43;1168,39;406;34452;17,65;1497,91
96;285;27158;12,39;1180,78;407;34859;17,70;1515,61
97;434;27592;18,87;1199,65;405;35264;17,61;1533,22
98;309;27901;13,43;1213,09;417;35681;18,13;1551,35
99;307;28208;13,35;1226,43;377;36058;16,39;1567,74
100;307;28515;13,35;1239,78;415;36473;18,04;1585,78
101;310;28825;13,48;1253,26;418;36891;18,17;1603,96
102;311;29136;13,52;1266,78;415;37306;18,04;1622,00
103;311;29447;13,52;1280,30;417;37723;18,13;1640,13
104;310;29757;13,48;1293,78;413;38136;17,96;1658,09
105;309;30066;13,43;1307,22;410;38546;17,83;1675,91
106;427;30493;18,57;1325,78;412;38958;17,91;1693,83
107;307;30800;13,35;1339,13;632;39590;27,48;1721,30
108;308;31108;13,39;1352,52;407;39997;17,70;1739,00
109;308;31416;13,39;1365,91;357;40354;15,52;1754,52
110;269;31685;11,70;1377,61;129;40483;5,61;1760,13
111;83;31768;3,61;1381,22;275;40758;11,96;1772,09
112;276;32044;12,00;1393,22;404;41162;17,57;1789,65
113;390;32434;16,96;1410,17;412;41574;17,91;1807,57
114;420;32854;18,26;1428,43;255;41829;11,09;1818,65
115;411;33265;17,87;1446,30;411;42240;17,87;1836,52
116;403;33668;17,52;1463,83;407;42647;17,70;1854,22
117;411;34079;17,87;1481,70;415;43062;18,04;1872,26
118;413;34492;17,96;1499,65;405;43467;17,61;1889,87
119;391;34883;17,00;1516,65;414;43881;18,00;1907,87
120;385;35268;16,74;1533,39;405;44286;17,61;1925,48
121;389;35657;16,91;1550,30;411;44697;17,87;1943,35
122;395;36052;17,17;1567,48;411;45108;17,87;1961,22
123;384;36436;16,70;1584,17;408;45516;17,74;1978,96
124;387;36823;16,83;1601,00;409;45925;17,78;1996,74
125;386;37209;16,78;1617,78;407;46332;17,70;2014,43
126;392;37601;17,04;1634,83;403;46735;17,52;2031,96
127;394;37995;17,13;1651,96;409;47144;17,78;2049,74
128;390;38385;16,96;1668,91;416;47560;18,09;2067,83
129;385;38770;16,74;1685,65;416;47976;18,09;2085,91
130;385;39155;16,74;1702,39;412;48388;17,91;2103,83
131;393;39548;17,09;1719,48;258;48646;11,22;2115,04
132;391;39939;17,00;1736,48;406;49052;17,65;2132,70
133;392;40331;17,04;1753,52;413;49465;17,96;2150,65
134;391;40722;17,00;1770,52;406;49871;17,65;2168,30
135;388;41110;16,87;1787,39;414;50285;18,00;2186,30
136;388;41498;16,87;1804,26;411;50696;17,87;2204,17
137;392;41890;17,04;1821,30;420;51116;18,26;2222,43
138;386;42276;16,78;1838,09;411;51527;17,87;2240,30
139;385;42661;16,74;1854,83;409;51936;17,78;2258,09
140;391;43052;17,00;1871,83;413;52349;17,96;2276,04
141;392;43444;17,04;1888,87;408;52757;17,74;2293,78
142;390;43834;16,96;1905,83;376;53133;16,35;2310,13
143;362;44196;15,74;1921,57;411;53544;17,87;2328,00
144;390;44586;16,96;1938,52;298;53842;12,96;2340,96
145;281;44867;12,22;1950,74;260;54102;11,30;2352,26
146;391;45258;17,00;1967,74;409;54511;17,78;2370,04
147;385;45643;16,74;1984,48;408;54919;17,74;2387,78
148;390;46033;16,96;2001,43;405;55324;17,61;2405,39
149;395;46428;17,17;2018,61;409;55733;17,78;2423,17
150;388;46816;16,87;2035,48;412;56145;17,91;2441,09
151;391;47207;17,00;2052,48;409;56554;17,78;2458,87
152;385;47592;16,74;2069,22;412;56966;17,91;2476,78
153;388;47980;16,87;2086,09;404;57370;17,57;2494,35
154;244;48224;10,61;2096,70;391;57761;17,00;2511,35
155;368;48592;16,00;2112,70;410;58171;17,83;2529,17
156;391;48983;17,00;2129,70;384;58555;16,70;2545,87
157;240;49223;10,43;2140,13;408;58963;17,74;2563,61
158;391;49614;17,00;2157,13;416;59379;18,09;2581,70
159;395;50009;17,17;2174,30;406;59785;17,65;2599,35
160;396;50405;17,22;2191,52;410;60195;17,83;2617,17
161;396;50801;17,22;2208,74;412;60607;17,91;2635,09
162;384;51185;16,70;2225,43;405;61012;17,61;2652,70
163;387;51572;16,83;2242,26;413;61425;17,96;2670,65
164;387;51959;16,83;2259,09;411;61836;17,87;2688,52
165;406;52365;17,65;2276,74;411;62247;17,87;2706,39
166;391;52756;17,00;2293,74;413;62660;17,96;2724,35
