"MUT";"SRUN";"SCT";"SAVGTCT";"SCTCT";"TRUN";"TCT";"TAVGTCT";"TCTCT"
1;44;44;1,42;1,42;43;43;1,39;1,39
2;44;88;1,42;2,84;44;87;1,42;2,81
3;42;130;1,35;4,19;44;131;1,42;4,23
4;42;172;1,35;5,55;44;175;1,42;5,65
5;42;214;1,35;6,90;44;219;1,42;7,06
6;42;256;1,35;8,26;44;263;1,42;8,48
7;42;298;1,35;9,61;44;307;1,42;9,90
8;42;340;1,35;10,97;45;352;1,45;11,35
9;42;382;1,35;12,32;44;396;1,42;12,77
10;42;424;1,35;13,68;44;440;1,42;14,19
11;42;466;1,35;15,03;44;484;1,42;15,61
12;42;508;1,35;16,39;44;528;1,42;17,03
13;42;550;1,35;17,74;44;572;1,42;18,45
14;42;592;1,35;19,10;44;616;1,42;19,87
15;42;634;1,35;20,45;43;659;1,39;21,26
16;42;676;1,35;21,81;44;703;1,42;22,68
17;42;718;1,35;23,16;43;746;1,39;24,06
18;42;760;1,35;24,52;44;790;1,42;25,48
19;42;802;1,35;25,87;44;834;1,42;26,90
20;42;844;1,35;27,23;44;878;1,42;28,32
21;42;886;1,35;28,58;44;922;1,42;29,74
22;42;928;1,35;29,94;44;966;1,42;31,16
23;42;970;1,35;31,29;44;1010;1,42;32,58
24;42;1012;1,35;32,65;43;1053;1,39;33,97
25;42;1054;1,35;34,00;43;1096;1,39;35,35
26;42;1096;1,35;35,35;43;1139;1,39;36,74
27;42;1138;1,35;36,71;44;1183;1,42;38,16
28;42;1180;1,35;38,06;44;1227;1,42;39,58
29;42;1222;1,35;39,42;43;1270;1,39;40,97
30;42;1264;1,35;40,77;44;1314;1,42;42,39
31;42;1306;1,35;42,13;44;1358;1,42;43,81
32;42;1348;1,35;43,48;44;1402;1,42;45,23
33;42;1390;1,35;44,84;44;1446;1,42;46,65
34;42;1432;1,35;46,19;43;1489;1,39;48,03
35;42;1474;1,35;47,55;44;1533;1,42;49,45
36;42;1516;1,35;48,90;44;1577;1,42;50,87
37;42;1558;1,35;50,26;44;1621;1,42;52,29
38;42;1600;1,35;51,61;44;1665;1,42;53,71
39;42;1642;1,35;52,97;44;1709;1,42;55,13
40;42;1684;1,35;54,32;44;1753;1,42;56,55
41;42;1726;1,35;55,68;44;1797;1,42;57,97
42;42;1768;1,35;57,03;44;1841;1,42;59,39
43;42;1810;1,35;58,39;43;1884;1,39;60,77
44;42;1852;1,35;59,74;44;1928;1,42;62,19
45;42;1894;1,35;61,10;44;1972;1,42;63,61
46;42;1936;1,35;62,45;44;2016;1,42;65,03
47;42;1978;1,35;63,81;44;2060;1,42;66,45
48;42;2020;1,35;65,16;43;2103;1,39;67,84
49;42;2062;1,35;66,52;44;2147;1,42;69,26
50;42;2104;1,35;67,87;44;2191;1,42;70,68
51;42;2146;1,35;69,23;44;2235;1,42;72,10
52;42;2188;1,35;70,58;44;2279;1,42;73,52
53;42;2230;1,35;71,94;44;2323;1,42;74,94
54;42;2272;1,35;73,29;43;2366;1,39;76,32
55;42;2314;1,35;74,65;44;2410;1,42;77,74
56;42;2356;1,35;76,00;43;2453;1,39;79,13
57;42;2398;1,35;77,35;43;2496;1,39;80,52
58;42;2440;1,35;78,71;44;2540;1,42;81,94
59;42;2482;1,35;80,06;44;2584;1,42;83,35
60;42;2524;1,35;81,42;44;2628;1,42;84,77
61;42;2566;1,35;82,77;44;2672;1,42;86,19
62;42;2608;1,35;84,13;44;2716;1,42;87,61
63;42;2650;1,35;85,48;43;2759;1,39;89,00
64;42;2692;1,35;86,84;43;2802;1,39;90,39
65;42;2734;1,35;88,19;44;2846;1,42;91,81
66;42;2776;1,35;89,55;43;2889;1,39;93,19
67;42;2818;1,35;90,90;43;2932;1,39;94,58
68;42;2860;1,35;92,26;43;2975;1,39;95,97
69;42;2902;1,35;93,61;44;3019;1,42;97,39
70;42;2944;1,35;94,97;44;3063;1,42;98,81
71;42;2986;1,35;96,32;44;3107;1,42;100,23
72;42;3028;1,35;97,68;44;3151;1,42;101,65
73;42;3070;1,35;99,03;43;3194;1,39;103,03
74;42;3112;1,35;100,39;44;3238;1,42;104,45
75;42;3154;1,35;101,74;44;3282;1,42;105,87
76;42;3196;1,35;103,10;44;3326;1,42;107,29
77;42;3238;1,35;104,45;44;3370;1,42;108,71
78;42;3280;1,35;105,81;43;3413;1,39;110,10
79;42;3322;1,35;107,16;43;3456;1,39;111,48
80;42;3364;1,35;108,52;43;3499;1,39;112,87
81;42;3406;1,35;109,87;44;3543;1,42;114,29
82;42;3448;1,35;111,23;44;3587;1,42;115,71
83;42;3490;1,35;112,58;44;3631;1,42;117,13
84;42;3532;1,35;113,94;44;3675;1,42;118,55
85;42;3574;1,35;115,29;44;3719;1,42;119,97
86;42;3616;1,35;116,65;43;3762;1,39;121,35
87;42;3658;1,35;118,00;44;3806;1,42;122,77
88;42;3700;1,35;119,35;44;3850;1,42;124,19
89;42;3742;1,35;120,71;43;3893;1,39;125,58
90;42;3784;1,35;122,06;44;3937;1,42;127,00
91;42;3826;1,35;123,42;43;3980;1,39;128,39
92;42;3868;1,35;124,77;44;4024;1,42;129,81
93;42;3910;1,35;126,13;44;4068;1,42;131,23
94;42;3952;1,35;127,48;44;4112;1,42;132,65
95;42;3994;1,35;128,84;44;4156;1,42;134,06
96;42;4036;1,35;130,19;43;4199;1,39;135,45
97;42;4078;1,35;131,55;44;4243;1,42;136,87
98;42;4120;1,35;132,90;44;4287;1,42;138,29
99;42;4162;1,35;134,26;44;4331;1,42;139,71
100;42;4204;1,35;135,61;43;4374;1,39;141,10
101;42;4246;1,35;136,97;44;4418;1,42;142,52
102;42;4288;1,35;138,32;44;4462;1,42;143,94
103;42;4330;1,35;139,68;44;4506;1,42;145,35
104;42;4372;1,35;141,03;44;4550;1,42;146,77
105;42;4414;1,35;142,39;44;4594;1,42;148,19
106;42;4456;1,35;143,74;44;4638;1,42;149,61
107;42;4498;1,35;145,10;44;4682;1,42;151,03
108;42;4540;1,35;146,45;43;4725;1,39;152,42
109;42;4582;1,35;147,81;44;4769;1,42;153,84
110;42;4624;1,35;149,16;44;4813;1,42;155,26
111;42;4666;1,35;150,52;44;4857;1,42;156,68
112;42;4708;1,35;151,87;45;4902;1,45;158,13
113;42;4750;1,35;153,23;45;4947;1,45;159,58
114;42;4792;1,35;154,58;44;4991;1,42;161,00
115;42;4834;1,35;155,94;44;5035;1,42;162,42
116;42;4876;1,35;157,29;44;5079;1,42;163,84
117;42;4918;1,35;158,65;45;5124;1,45;165,29
118;42;4960;1,35;160,00;45;5169;1,45;166,74
119;42;5002;1,35;161,35;43;5212;1,39;168,13
120;42;5044;1,35;162,71;44;5256;1,42;169,55
121;42;5086;1,35;164,06;44;5300;1,42;170,97
122;42;5128;1,35;165,42;44;5344;1,42;172,39
123;42;5170;1,35;166,77;44;5388;1,42;173,81
124;42;5212;1,35;168,13;44;5432;1,42;175,23
125;42;5254;1,35;169,48;44;5476;1,42;176,65
126;42;5296;1,35;170,84;45;5521;1,45;178,10
127;42;5338;1,35;172,19;44;5565;1,42;179,52
128;42;5380;1,35;173,55;44;5609;1,42;180,94
129;42;5422;1,35;174,90;44;5653;1,42;182,35
130;42;5464;1,35;176,26;44;5697;1,42;183,77
131;42;5506;1,35;177,61;44;5741;1,42;185,19
132;42;5548;1,35;178,97;44;5785;1,42;186,61
133;42;5590;1,35;180,32;44;5829;1,42;188,03
134;42;5632;1,35;181,68;44;5873;1,42;189,45
135;42;5674;1,35;183,03;44;5917;1,42;190,87
136;42;5716;1,35;184,39;45;5962;1,45;192,32
137;42;5758;1,35;185,74;44;6006;1,42;193,74
138;42;5800;1,35;187,10;44;6050;1,42;195,16
139;42;5842;1,35;188,45;44;6094;1,42;196,58
140;42;5884;1,35;189,81;44;6138;1,42;198,00
141;42;5926;1,35;191,16;44;6182;1,42;199,42
142;42;5968;1,35;192,52;44;6226;1,42;200,84
143;42;6010;1,35;193,87;44;6270;1,42;202,26
144;42;6052;1,35;195,23;44;6314;1,42;203,68
145;42;6094;1,35;196,58;44;6358;1,42;205,10
146;42;6136;1,35;197,94;44;6402;1,42;206,52
147;42;6178;1,35;199,29;44;6446;1,42;207,94
148;42;6220;1,35;200,65;44;6490;1,42;209,35
149;42;6262;1,35;202,00;44;6534;1,42;210,77
150;42;6304;1,35;203,35;44;6578;1,42;212,19
151;42;6346;1,35;204,71;44;6622;1,42;213,61
152;42;6388;1,35;206,06;44;6666;1,42;215,03
153;42;6430;1,35;207,42;44;6710;1,42;216,45
154;42;6472;1,35;208,77;44;6754;1,42;217,87
155;42;6514;1,35;210,13;44;6798;1,42;219,29
156;42;6556;1,35;211,48;44;6842;1,42;220,71
157;42;6598;1,35;212,84;43;6885;1,39;222,10
158;42;6640;1,35;214,19;44;6929;1,42;223,52
159;42;6682;1,35;215,55;44;6973;1,42;224,94
160;42;6724;1,35;216,90;44;7017;1,42;226,35
161;42;6766;1,35;218,26;44;7061;1,42;227,77
162;42;6808;1,35;219,61;44;7105;1,42;229,19
163;42;6850;1,35;220,97;45;7150;1,45;230,65
164;42;6892;1,35;222,32;43;7193;1,39;232,03
165;42;6934;1,35;223,68;44;7237;1,42;233,45
166;42;6976;1,35;225,03;43;7280;1,39;234,84
167;42;7018;1,35;226,39;44;7324;1,42;236,26
168;42;7060;1,35;227,74;44;7368;1,42;237,68
169;42;7102;1,35;229,10;43;7411;1,39;239,06
170;42;7144;1,35;230,45;44;7455;1,42;240,48
171;42;7186;1,35;231,81;44;7499;1,42;241,90
172;42;7228;1,35;233,16;44;7543;1,42;243,32
173;42;7270;1,35;234,52;44;7587;1,42;244,74
174;42;7312;1,35;235,87;44;7631;1,42;246,16
175;42;7354;1,35;237,23;44;7675;1,42;247,58
176;42;7396;1,35;238,58;44;7719;1,42;249,00
177;42;7438;1,35;239,94;44;7763;1,42;250,42
178;42;7480;1,35;241,29;44;7807;1,42;251,84
179;42;7522;1,35;242,65;44;7851;1,42;253,26
180;42;7564;1,35;244,00;43;7894;1,39;254,65
181;42;7606;1,35;245,35;44;7938;1,42;256,06
182;42;7648;1,35;246,71;43;7981;1,39;257,45
183;42;7690;1,35;248,06;44;8025;1,42;258,87
184;42;7732;1,35;249,42;44;8069;1,42;260,29
185;42;7774;1,35;250,77;44;8113;1,42;261,71
186;42;7816;1,35;252,13;44;8157;1,42;263,13
187;42;7858;1,35;253,48;44;8201;1,42;264,55
188;42;7900;1,35;254,84;44;8245;1,42;265,97
189;42;7942;1,35;256,19;44;8289;1,42;267,39
190;42;7984;1,35;257,55;44;8333;1,42;268,81
191;42;8026;1,35;258,90;44;8377;1,42;270,23
192;42;8068;1,35;260,26;44;8421;1,42;271,65
193;42;8110;1,35;261,61;43;8464;1,39;273,03
194;42;8152;1,35;262,97;44;8508;1,42;274,45
195;42;8194;1,35;264,32;44;8552;1,42;275,87
196;42;8236;1,35;265,68;44;8596;1,42;277,29
197;42;8278;1,35;267,03;44;8640;1,42;278,71
198;42;8320;1,35;268,39;44;8684;1,42;280,13
199;42;8362;1,35;269,74;44;8728;1,42;281,55
200;42;8404;1,35;271,10;44;8772;1,42;282,97
201;42;8446;1,35;272,45;44;8816;1,42;284,39
202;42;8488;1,35;273,81;44;8860;1,42;285,81
203;42;8530;1,35;275,16;44;8904;1,42;287,23
204;42;8572;1,35;276,52;44;8948;1,42;288,65
205;42;8614;1,35;277,87;44;8992;1,42;290,06
206;42;8656;1,35;279,23;44;9036;1,42;291,48
207;42;8698;1,35;280,58;44;9080;1,42;292,90
208;42;8740;1,35;281,94;44;9124;1,42;294,32
