"MUT";"SRUN";"SCT";"SAVGTCT";"SCTCT";"TRUN";"TCT";"TAVGTCT";"TCTCT"
1;428;428;4,46;4,46;422;422;4,40;4,40
2;421;849;4,39;8,84;424;846;4,42;8,81
3;421;1270;4,39;13,23;420;1266;4,38;13,19
4;422;1692;4,40;17,63;418;1684;4,35;17,54
5;426;2118;4,44;22,06;417;2101;4,34;21,89
6;424;2542;4,42;26,48;419;2520;4,36;26,25
7;424;2966;4,42;30,90;417;2937;4,34;30,59
8;427;3393;4,45;35,34;419;3356;4,36;34,96
9;421;3814;4,39;39,73;420;3776;4,38;39,33
10;420;4234;4,38;44,10;419;4195;4,36;43,70
11;421;4655;4,39;48,49;419;4614;4,36;48,06
12;422;5077;4,40;52,89;420;5034;4,38;52,44
13;418;5495;4,35;57,24;421;5455;4,39;56,82
14;423;5918;4,41;61,65;422;5877;4,40;61,22
15;424;6342;4,42;66,06;416;6293;4,33;65,55
16;421;6763;4,39;70,45;419;6712;4,36;69,92
17;424;7187;4,42;74,86;420;7132;4,38;74,29
18;421;7608;4,39;79,25;423;7555;4,41;78,70
19;422;8030;4,40;83,65;422;7977;4,40;83,09
20;422;8452;4,40;88,04;418;8395;4,35;87,45
21;420;8872;4,38;92,42;414;8809;4,31;91,76
22;417;9289;4,34;96,76;417;9226;4,34;96,10
23;422;9711;4,40;101,16;416;9642;4,33;100,44
24;423;10134;4,41;105,56;417;10059;4,34;104,78
25;421;10555;4,39;109,95;417;10476;4,34;109,13
26;419;10974;4,36;114,31;421;10897;4,39;113,51
27;423;11397;4,41;118,72;424;11321;4,42;117,93
28;423;11820;4,41;123,13;420;11741;4,38;122,30
29;422;12242;4,40;127,52;419;12160;4,36;126,67
30;423;12665;4,41;131,93;427;12587;4,45;131,11
31;422;13087;4,40;136,32;2326;14913;24,23;155,34
32;419;13506;4,36;140,69;417;15330;4,34;159,69
33;419;13925;4,36;145,05;417;15747;4,34;164,03
34;425;14350;4,43;149,48;422;16169;4,40;168,43
35;417;14767;4,34;153,82;417;16586;4,34;172,77
36;421;15188;4,39;158,21;418;17004;4,35;177,13
37;421;15609;4,39;162,59;415;17419;4,32;181,45
38;421;16030;4,39;166,98;414;17833;4,31;185,76
39;421;16451;4,39;171,36;417;18250;4,34;190,10
40;421;16872;4,39;175,75;415;18665;4,32;194,43
41;421;17293;4,39;180,14;414;19079;4,31;198,74
42;422;17715;4,40;184,53;415;19494;4,32;203,06
43;420;18135;4,38;188,91;416;19910;4,33;207,40
44;419;18554;4,36;193,27;416;20326;4,33;211,73
45;420;18974;4,38;197,65;416;20742;4,33;216,06
46;420;19394;4,38;202,02;417;21159;4,34;220,41
47;425;19819;4,43;206,45;416;21575;4,33;224,74
48;425;20244;4,43;210,88;414;21989;4,31;229,05
49;419;20663;4,36;215,24;416;22405;4,33;233,39
50;425;21088;4,43;219,67;416;22821;4,33;237,72
51;425;21513;4,43;224,09;415;23236;4,32;242,04
52;423;21936;4,41;228,50;419;23655;4,36;246,41
53;420;22356;4,38;232,88;416;24071;4,33;250,74
54;420;22776;4,38;237,25;415;24486;4,32;255,06
55;418;23194;4,35;241,60;418;24904;4,35;259,42
56;419;23613;4,36;245,97;417;25321;4,34;263,76
57;424;24037;4,42;250,39;418;25739;4,35;268,11
58;424;24461;4,42;254,80;417;26156;4,34;272,46
59;424;24885;4,42;259,22;416;26572;4,33;276,79
60;421;25306;4,39;263,60;414;26986;4,31;281,10
61;423;25729;4,41;268,01;416;27402;4,33;285,44
62;424;26153;4,42;272,43;419;27821;4,36;289,80
63;420;26573;4,38;276,80;416;28237;4,33;294,14
64;422;26995;4,40;281,20;445;28682;4,64;298,77
65;422;27417;4,40;285,59;423;29105;4,41;303,18
66;421;27838;4,39;289,98;423;29528;4,41;307,58
67;452;28290;4,71;294,69;419;29947;4,36;311,95
68;394;28684;4,10;298,79;420;30367;4,38;316,32
69;395;29079;4,11;302,91;417;30784;4,34;320,67
70;396;29475;4,13;307,03;419;31203;4,36;325,03
71;396;29871;4,13;311,16;421;31624;4,39;329,42
72;390;30261;4,06;315,22;418;32042;4,35;333,77
73;391;30652;4,07;319,29;419;32461;4,36;338,14
74;394;31046;4,10;323,40;419;32880;4,36;342,50
75;388;31434;4,04;327,44;420;33300;4,38;346,88
76;388;31822;4,04;331,48;419;33719;4,36;351,24
77;392;32214;4,08;335,56;419;34138;4,36;355,60
78;396;32610;4,13;339,69;421;34559;4,39;359,99
79;395;33005;4,11;343,80;415;34974;4,32;364,31
80;393;33398;4,09;347,90;419;35393;4,36;368,68
81;390;33788;4,06;351,96;420;35813;4,38;373,05
82;396;34184;4,13;356,08;416;36229;4,33;377,39
83;391;34575;4,07;360,16;424;36653;4,42;381,80
84;392;34967;4,08;364,24;418;37071;4,35;386,16
85;396;35363;4,13;368,36;419;37490;4,36;390,52
86;389;35752;4,05;372,42;419;37909;4,36;394,89
87;398;36150;4,15;376,56;416;38325;4,33;399,22
88;397;36547;4,14;380,70;421;38746;4,39;403,60
89;396;36943;4,13;384,82;419;39165;4,36;407,97
90;398;37341;4,15;388,97;418;39583;4,35;412,32
91;392;37733;4,08;393,05;420;40003;4,38;416,70
92;392;38125;4,08;397,14;422;40425;4,40;421,09
93;393;38518;4,09;401,23;419;40844;4,36;425,46
94;392;38910;4,08;405,31;417;41261;4,34;429,80
95;393;39303;4,09;409,41;420;41681;4,38;434,18
96;394;39697;4,10;413,51;421;42102;4,39;438,56
97;392;40089;4,08;417,59;447;42549;4,66;443,22
98;381;40470;3,97;421,56;413;42962;4,30;447,52
99;385;40855;4,01;425,57;409;43371;4,26;451,78
100;395;41250;4,11;429,69;416;43787;4,33;456,11
101;396;41646;4,13;433,81;418;44205;4,35;460,47
102;384;42030;4,00;437,81;404;44609;4,21;464,68
103;393;42423;4,09;441,91;417;45026;4,34;469,02
104;393;42816;4,09;446,00;418;45444;4,35;473,38
105;385;43201;4,01;450,01;407;45851;4,24;477,61
106;394;43595;4,10;454,11;418;46269;4,35;481,97
107;390;43985;4,06;458,18;416;46685;4,33;486,30
108;394;44379;4,10;462,28;418;47103;4,35;490,66
109;394;44773;4,10;466,39;416;47519;4,33;494,99
110;394;45167;4,10;470,49;418;47937;4,35;499,34
111;394;45561;4,10;474,59;417;48354;4,34;503,69
112;394;45955;4,10;478,70;416;48770;4,33;508,02
113;392;46347;4,08;482,78;421;49191;4,39;512,41
114;389;46736;4,05;486,83;410;49601;4,27;516,68
115;386;47122;4,02;490,85;409;50010;4,26;520,94
116;391;47513;4,07;494,93;418;50428;4,35;525,29
117;394;47907;4,10;499,03;414;50842;4,31;529,60
118;394;48301;4,10;503,14;414;51256;4,31;533,92
119;389;48690;4,05;507,19;413;51669;4,30;538,22
120;397;49087;4,14;511,32;414;52083;4,31;542,53
121;393;49480;4,09;515,42;417;52500;4,34;546,88
122;395;49875;4,11;519,53;419;52919;4,36;551,24
123;394;50269;4,10;523,64;415;53334;4,32;555,56
124;394;50663;4,10;527,74;414;53748;4,31;559,88
125;391;51054;4,07;531,81;416;54164;4,33;564,21
126;391;51445;4,07;535,89;415;54579;4,32;568,53
127;394;51839;4,10;539,99;417;54996;4,34;572,88
128;390;52229;4,06;544,05;417;55413;4,34;577,22
129;389;52618;4,05;548,10;419;55832;4,36;581,58
130;391;53009;4,07;552,18;458;56290;4,77;586,35
131;396;53405;4,13;556,30;419;56709;4,36;590,72
132;393;53798;4,09;560,40;418;57127;4,35;595,07
133;447;54245;4,66;565,05;420;57547;4,38;599,45
134;392;54637;4,08;569,14;424;57971;4,42;603,86
135;396;55033;4,13;573,26;416;58387;4,33;608,20
136;398;55431;4,15;577,41;415;58802;4,32;612,52
137;399;55830;4,16;581,56;420;59222;4,38;616,90
138;392;56222;4,08;585,65;422;59644;4,40;621,29
139;392;56614;4,08;589,73;416;60060;4,33;625,63
140;399;57013;4,16;593,89;416;60476;4,33;629,96
141;396;57409;4,13;598,01;419;60895;4,36;634,32
142;398;57807;4,15;602,16;428;61323;4,46;638,78
143;395;58202;4,11;606,27;416;61739;4,33;643,11
144;393;58595;4,09;610,36;416;62155;4,33;647,45
145;400;58995;4,17;614,53;416;62571;4,33;651,78
146;396;59391;4,13;618,66;420;62991;4,38;656,16
147;392;59783;4,08;622,74;414;63405;4,31;660,47
148;398;60181;4,15;626,89;420;63825;4,38;664,84
149;396;60577;4,13;631,01;419;64244;4,36;669,21
150;393;60970;4,09;635,10;413;64657;4,30;673,51
151;396;61366;4,13;639,23;417;65074;4,34;677,85
152;393;61759;4,09;643,32;416;65490;4,33;682,19
153;393;62152;4,09;647,42;416;65906;4,33;686,52
154;393;62545;4,09;651,51;415;66321;4,32;690,84
155;390;62935;4,06;655,57;415;66736;4,32;695,17
156;389;63324;4,05;659,63;416;67152;4,33;699,50
157;391;63715;4,07;663,70;417;67569;4,34;703,84
158;390;64105;4,06;667,76;414;67983;4,31;708,16
159;395;64500;4,11;671,88;416;68399;4,33;712,49
160;394;64894;4,10;675,98;417;68816;4,34;716,83
