"MUT";"SRUN";"SCT";"SAVGTCT";"SCTCT";"TRUN";"TCT";"TAVGTCT";"TCTCT"
1;126;126;1,06;1,06;102;102;0,86;0,86
2;115;241;0,97;2,03;121;223;1,02;1,87
3;115;356;0,97;2,99;120;343;1,01;2,88
4;115;471;0,97;3,96;121;464;1,02;3,90
5;115;586;0,97;4,92;120;584;1,01;4,91
6;115;701;0,97;5,89;120;704;1,01;5,92
7;115;816;0,97;6,86;120;824;1,01;6,92
8;115;931;0,97;7,82;120;944;1,01;7,93
9;115;1046;0,97;8,79;120;1064;1,01;8,94
10;115;1161;0,97;9,76;120;1184;1,01;9,95
11;115;1276;0,97;10,72;120;1304;1,01;10,96
12;115;1391;0,97;11,69;120;1424;1,01;11,97
13;118;1509;0,99;12,68;120;1544;1,01;12,97
14;117;1626;0,98;13,66;120;1664;1,01;13,98
15;117;1743;0,98;14,65;120;1784;1,01;14,99
16;117;1860;0,98;15,63;120;1904;1,01;16,00
17;117;1977;0,98;16,61;120;2024;1,01;17,01
18;116;2093;0,97;17,59;120;2144;1,01;18,02
19;117;2210;0,98;18,57;120;2264;1,01;19,03
20;117;2327;0,98;19,55;120;2384;1,01;20,03
21;117;2444;0,98;20,54;120;2504;1,01;21,04
22;116;2560;0,97;21,51;120;2624;1,01;22,05
23;116;2676;0,97;22,49;120;2744;1,01;23,06
24;116;2792;0,97;23,46;120;2864;1,01;24,07
25;116;2908;0,97;24,44;120;2984;1,01;25,08
26;116;3024;0,97;25,41;120;3104;1,01;26,08
27;115;3139;0,97;26,38;120;3224;1,01;27,09
28;115;3254;0,97;27,34;121;3345;1,02;28,11
29;115;3369;0,97;28,31;120;3465;1,01;29,12
30;114;3483;0,96;29,27;120;3585;1,01;30,13
31;114;3597;0,96;30,23;120;3705;1,01;31,13
32;114;3711;0,96;31,18;120;3825;1,01;32,14
33;114;3825;0,96;32,14;120;3945;1,01;33,15
34;114;3939;0,96;33,10;120;4065;1,01;34,16
35;115;4054;0,97;34,07;120;4185;1,01;35,17
36;115;4169;0,97;35,03;120;4305;1,01;36,18
37;114;4283;0,96;35,99;120;4425;1,01;37,18
38;115;4398;0,97;36,96;120;4545;1,01;38,19
39;115;4513;0,97;37,92;120;4665;1,01;39,20
40;115;4628;0,97;38,89;120;4785;1,01;40,21
41;115;4743;0,97;39,86;120;4905;1,01;41,22
42;115;4858;0,97;40,82;120;5025;1,01;42,23
43;115;4973;0,97;41,79;120;5145;1,01;43,24
44;114;5087;0,96;42,75;120;5265;1,01;44,24
45;115;5202;0,97;43,71;120;5385;1,01;45,25
46;115;5317;0,97;44,68;120;5505;1,01;46,26
47;115;5432;0,97;45,65;120;5625;1,01;47,27
