"MUT";"SRUN";"SCT";"SAVGTCT";"SCTCT";"TRUN";"TCT";"TAVGTCT";"TCTCT"
1;274;274;2,77;2,77;261;261;2,64;2,64
2;246;520;2,48;5,25;258;519;2,61;5,24
3;242;762;2,44;7,70;254;773;2,57;7,81
4;245;1007;2,47;10,17;256;1029;2,59;10,39
5;243;1250;2,45;12,63;252;1281;2,55;12,94
6;237;1487;2,39;15,02;248;1529;2,51;15,44
7;241;1728;2,43;17,45;255;1784;2,58;18,02
8;243;1971;2,45;19,91;256;2040;2,59;20,61
9;242;2213;2,44;22,35;260;2300;2,63;23,23
10;235;2448;2,37;24,73;247;2547;2,49;25,73
11;239;2687;2,41;27,14;255;2802;2,58;28,30
12;235;2922;2,37;29,52;250;3052;2,53;30,83
13;238;3160;2,40;31,92;248;3300;2,51;33,33
14;236;3396;2,38;34,30;250;3550;2,53;35,86
15;240;3636;2,42;36,73;254;3804;2,57;38,42
16;241;3877;2,43;39,16;255;4059;2,58;41,00
17;245;4122;2,47;41,64;255;4314;2,58;43,58
18;246;4368;2,48;44,12;255;4569;2,58;46,15
19;243;4611;2,45;46,58;256;4825;2,59;48,74
20;243;4854;2,45;49,03;253;5078;2,56;51,29
21;243;5097;2,45;51,48;255;5333;2,58;53,87
22;241;5338;2,43;53,92;254;5587;2,57;56,43
23;246;5584;2,48;56,40;252;5839;2,55;58,98
24;244;5828;2,46;58,87;254;6093;2,57;61,55
25;245;6073;2,47;61,34;253;6346;2,56;64,10
26;244;6317;2,46;63,81;255;6601;2,58;66,68
27;242;6559;2,44;66,25;260;6861;2,63;69,30
28;242;6801;2,44;68,70;257;7118;2,60;71,90
29;241;7042;2,43;71,13;257;7375;2,60;74,49
30;274;7316;2,77;73,90;279;7654;2,82;77,31
31;243;7559;2,45;76,35;258;7912;2,61;79,92
32;244;7803;2,46;78,82;257;8169;2,60;82,52
33;242;8045;2,44;81,26;257;8426;2,60;85,11
34;242;8287;2,44;83,71;264;8690;2,67;87,78
35;292;8579;2,95;86,66;298;8988;3,01;90,79
36;242;8821;2,44;89,10;262;9250;2,65;93,43
37;236;9057;2,38;91,48;250;9500;2,53;95,96
38;239;9296;2,41;93,90;254;9754;2,57;98,53
39;238;9534;2,40;96,30;251;10005;2,54;101,06
40;234;9768;2,36;98,67;252;10257;2,55;103,61
41;240;10008;2,42;101,09;253;10510;2,56;106,16
42;240;10248;2,42;103,52;252;10762;2,55;108,71
43;240;10488;2,42;105,94;252;11014;2,55;111,25
44;238;10726;2,40;108,34;250;11264;2,53;113,78
45;239;10965;2,41;110,76;251;11515;2,54;116,31
46;238;11203;2,40;113,16;254;11769;2,57;118,88
47;242;11445;2,44;115,61;254;12023;2,57;121,44
48;237;11682;2,39;118,00;252;12275;2,55;123,99
49;140;11822;1,41;119,41;153;12428;1,55;125,54
50;238;12060;2,40;121,82;249;12677;2,52;128,05
51;241;12301;2,43;124,25;253;12930;2,56;130,61
52;219;12520;2,21;126,46;233;13163;2,35;132,96
53;228;12748;2,30;128,77;238;13401;2,40;135,36
54;242;12990;2,44;131,21;253;13654;2,56;137,92
55;238;13228;2,40;133,62;251;13905;2,54;140,45
56;237;13465;2,39;136,01;254;14159;2,57;143,02
57;241;13706;2,43;138,44;251;14410;2,54;145,56
58;240;13946;2,42;140,87;251;14661;2,54;148,09
59;241;14187;2,43;143,30;255;14916;2,58;150,67
60;239;14426;2,41;145,72;253;15169;2,56;153,22
61;238;14664;2,40;148,12;252;15421;2,55;155,77
62;239;14903;2,41;150,54;253;15674;2,56;158,32
63;237;15140;2,39;152,93;256;15930;2,59;160,91
64;240;15380;2,42;155,35;256;16186;2,59;163,49
65;238;15618;2,40;157,76;255;16441;2,58;166,07
66;237;15855;2,39;160,15;258;16699;2,61;168,68
67;238;16093;2,40;162,56;257;16956;2,60;171,27
68;239;16332;2,41;164,97;260;17216;2,63;173,90
69;237;16569;2,39;167,36;259;17475;2,62;176,52
70;253;16822;2,56;169,92;260;17735;2,63;179,14
71;238;17060;2,40;172,32;256;17991;2,59;181,73
72;240;17300;2,42;174,75;257;18248;2,60;184,32
73;238;17538;2,40;177,15;255;18503;2,58;186,90
74;235;17773;2,37;179,53;257;18760;2,60;189,49
75;239;18012;2,41;181,94;256;19016;2,59;192,08
76;240;18252;2,42;184,36;258;19274;2,61;194,69
77;239;18491;2,41;186,78;263;19537;2,66;197,34
78;243;18734;2,45;189,23;690;20227;6,97;204,31
79;239;18973;2,41;191,65;262;20489;2,65;206,96
80;240;19213;2,42;194,07;250;20739;2,53;209,48
81;240;19453;2,42;196,49;253;20992;2,56;212,04
82;233;19686;2,35;198,85;250;21242;2,53;214,57
83;238;19924;2,40;201,25;253;21495;2,56;217,12
84;239;20163;2,41;203,67;252;21747;2,55;219,67
85;241;20404;2,43;206,10;250;21997;2,53;222,19
86;242;20646;2,44;208,55;252;22249;2,55;224,74
87;238;20884;2,40;210,95;251;22500;2,54;227,27
88;240;21124;2,42;213,37;252;22752;2,55;229,82
89;240;21364;2,42;215,80;251;23003;2,54;232,35
90;240;21604;2,42;218,22;249;23252;2,52;234,87
91;238;21842;2,40;220,63;253;23505;2,56;237,42
92;239;22081;2,41;223,04;249;23754;2,52;239,94
93;239;22320;2,41;225,45;252;24006;2,55;242,48
94;239;22559;2,41;227,87;254;24260;2,57;245,05
95;238;22797;2,40;230,27;253;24513;2,56;247,61
96;241;23038;2,43;232,71;252;24765;2,55;250,15
97;242;23280;2,44;235,15;251;25016;2,54;252,69
98;242;23522;2,44;237,60;250;25266;2,53;255,21
99;246;23768;2,48;240,08;251;25517;2,54;257,75
100;269;24037;2,72;242,80;253;25770;2,56;260,30
101;240;24277;2,42;245,22;253;26023;2,56;262,86
102;238;24515;2,40;247,63;251;26274;2,54;265,39
103;249;24764;2,52;250,14;251;26525;2,54;267,93
104;240;25004;2,42;252,57;249;26774;2,52;270,44
105;238;25242;2,40;254,97;251;27025;2,54;272,98
106;237;25479;2,39;257,36;253;27278;2,56;275,54
107;239;25718;2,41;259,78;258;27536;2,61;278,14
108;239;25957;2,41;262,19;256;27792;2,59;280,73
109;241;26198;2,43;264,63;258;28050;2,61;283,33
110;237;26435;2,39;267,02;256;28306;2,59;285,92
111;241;26676;2,43;269,45;254;28560;2,57;288,48
112;238;26914;2,40;271,86;258;28818;2,61;291,09
