"MUT";"SRUN";"SCT";"SAVGTCT";"SCTCT";"TRUN";"TCT";"TAVGTCT";"TCTCT"
1;174;174;2,56;2,56;170;170;2,50;2,50
2;160;334;2,35;4,91;170;340;2,50;5,00
3;157;491;2,31;7,22;168;508;2,47;7,47
4;156;647;2,29;9,51;170;678;2,50;9,97
5;156;803;2,29;11,81;169;847;2,49;12,46
6;157;960;2,31;14,12;168;1015;2,47;14,93
7;157;1117;2,31;16,43;168;1183;2,47;17,40
8;157;1274;2,31;18,74;169;1352;2,49;19,88
9;155;1429;2,28;21,01;169;1521;2,49;22,37
10;157;1586;2,31;23,32;169;1690;2,49;24,85
11;157;1743;2,31;25,63;172;1862;2,53;27,38
12;156;1899;2,29;27,93;169;2031;2,49;29,87
13;156;2055;2,29;30,22;169;2200;2,49;32,35
14;155;2210;2,28;32,50;170;2370;2,50;34,85
15;154;2364;2,26;34,76;169;2539;2,49;37,34
16;153;2517;2,25;37,01;169;2708;2,49;39,82
17;157;2674;2,31;39,32;169;2877;2,49;42,31
18;158;2832;2,32;41,65;170;3047;2,50;44,81
19;155;2987;2,28;43,93;169;3216;2,49;47,29
20;156;3143;2,29;46,22;169;3385;2,49;49,78
21;152;3295;2,24;48,46;169;3554;2,49;52,26
22;156;3451;2,29;50,75;169;3723;2,49;54,75
23;154;3605;2,26;53,01;170;3893;2,50;57,25
24;153;3758;2,25;55,26;170;4063;2,50;59,75
25;157;3915;2,31;57,57;172;4235;2,53;62,28
26;156;4071;2,29;59,87;168;4403;2,47;64,75
27;155;4226;2,28;62,15;169;4572;2,49;67,24
28;154;4380;2,26;64,41;170;4742;2,50;69,74
29;157;4537;2,31;66,72;169;4911;2,49;72,22
30;155;4692;2,28;69,00;170;5081;2,50;74,72
31;156;4848;2,29;71,29;171;5252;2,51;77,24
32;155;5003;2,28;73,57;170;5422;2,50;79,74
33;154;5157;2,26;75,84;172;5594;2,53;82,26
34;154;5311;2,26;78,10;172;5766;2,53;84,79
35;156;5467;2,29;80,40;171;5937;2,51;87,31
36;155;5622;2,28;82,68;171;6108;2,51;89,82
37;155;5777;2,28;84,96;169;6277;2,49;92,31
38;154;5931;2,26;87,22;169;6446;2,49;94,79
39;158;6089;2,32;89,54;169;6615;2,49;97,28
40;157;6246;2,31;91,85;174;6789;2,56;99,84
41;155;6401;2,28;94,13;169;6958;2,49;102,32
42;158;6559;2,32;96,46;171;7129;2,51;104,84
43;156;6715;2,29;98,75;171;7300;2,51;107,35
44;154;6869;2,26;101,01;170;7470;2,50;109,85
45;155;7024;2,28;103,29;168;7638;2,47;112,32
46;157;7181;2,31;105,60;168;7806;2,47;114,79
47;155;7336;2,28;107,88;169;7975;2,49;117,28
48;155;7491;2,28;110,16;168;8143;2,47;119,75
49;156;7647;2,29;112,46;167;8310;2,46;122,21
50;159;7806;2,34;114,79;167;8477;2,46;124,66
51;155;7961;2,28;117,07;170;8647;2,50;127,16
52;154;8115;2,26;119,34;168;8815;2,47;129,63
53;157;8272;2,31;121,65;167;8982;2,46;132,09
54;157;8429;2,31;123,96;165;9147;2,43;134,51
55;156;8585;2,29;126,25;168;9315;2,47;136,99
56;156;8741;2,29;128,54;167;9482;2,46;139,44
57;154;8895;2,26;130,81;167;9649;2,46;141,90
58;154;9049;2,26;133,07;169;9818;2,49;144,38
59;156;9205;2,29;135,37;167;9985;2,46;146,84
60;154;9359;2,26;137,63;168;10153;2,47;149,31
61;157;9516;2,31;139,94;167;10320;2,46;151,76
62;158;9674;2,32;142,26;168;10488;2,47;154,24
63;156;9830;2,29;144,56;172;10660;2,53;156,76
64;156;9986;2,29;146,85;171;10831;2,51;159,28
