Id_Index;ExecTime(s);Mutant
1;393;ORIGINAL_PROGRAM
2;280;HOTP_0_BinaryMutator
3;331;HOTP_1_BinaryMutator
4;347;HOTP_2_BinaryMutator
5;273;HOTP_3_BinaryMutator
6;361;MOTP_0_BinaryMutator
7;382;MOTP_1_BinaryMutator
8;414;YAOTP_0_BinaryMutator
9;332;YAOTP_1_BinaryMutator
10;373;YAOTP_2_BinaryMutator
11;301;YAOTP_3_BinaryMutator
12;346;YAOTP_4_BinaryMutator
13;345;TOTP_0_BinaryMutator
14;345;TOTP_1_BinaryMutator
15;127;SCrypt_0_BinaryMutator
16;495;SCrypt_1_BinaryMutator
17;344;SCrypt_2_BinaryMutator
18;336;SCrypt_3_BinaryMutator
19;333;SCrypt_4_BinaryMutator
20;348;SCrypt_5_BinaryMutator
21;343;SCrypt_6_BinaryMutator
22;126;SCrypt_7_BinaryMutator
23;131;SCrypt_8_BinaryMutator
24;343;SCrypt_9_BinaryMutator
25;127;SCrypt_10_BinaryMutator
26;128;SCrypt_11_BinaryMutator
27;130;SCrypt_12_BinaryMutator
28;130;SCrypt_13_BinaryMutator
29;342;SCrypt_14_BinaryMutator
30;125;SCrypt_15_BinaryMutator
31;336;SCrypt_16_BinaryMutator
32;127;SCrypt_17_BinaryMutator
33;127;SCrypt_18_BinaryMutator
34;342;SCrypt_19_BinaryMutator
35;128;SCrypt_20_BinaryMutator
36;127;SCrypt_21_BinaryMutator
37;344;Salsa20Engine_0_BinaryMutator
38;342;Salsa20Engine_1_BinaryMutator
39;467;Salsa20Engine_2_BinaryMutator
40;460;Salsa20Engine_3_BinaryMutator
41;383;Salsa20Engine_4_BinaryMutator
42;356;Salsa20Engine_5_BinaryMutator
43;356;Salsa20Engine_6_BinaryMutator
44;354;Salsa20Engine_7_BinaryMutator
45;360;Salsa20Engine_8_BinaryMutator
46;350;Salsa20Engine_9_BinaryMutator
47;347;Salsa20Engine_10_BinaryMutator
48;348;Salsa20Engine_11_BinaryMutator
49;345;Salsa20Engine_12_BinaryMutator
50;348;Salsa20Engine_13_BinaryMutator
51;347;Salsa20Engine_14_BinaryMutator
52;344;Salsa20Engine_15_BinaryMutator
53;346;Salsa20Engine_16_BinaryMutator
54;346;Salsa20Engine_17_BinaryMutator
55;484;Salsa20Engine_18_BinaryMutator
56;346;Salsa20Engine_19_BinaryMutator
57;347;Salsa20Engine_20_BinaryMutator
58;345;Salsa20Engine_21_BinaryMutator
59;343;Salsa20Engine_22_BinaryMutator
60;345;Salsa20Engine_23_BinaryMutator
61;494;Salsa20Engine_24_BinaryMutator
62;345;Salsa20Engine_25_BinaryMutator
63;345;Salsa20Engine_26_BinaryMutator
64;342;Salsa20Engine_27_BinaryMutator
65;345;Salsa20Engine_28_BinaryMutator
66;346;Salsa20Engine_29_BinaryMutator
67;345;Salsa20Engine_30_BinaryMutator
68;345;Salsa20Engine_31_BinaryMutator
69;344;Salsa20Engine_32_BinaryMutator
70;348;Salsa20Engine_33_BinaryMutator
71;343;Salsa20Engine_34_BinaryMutator
72;346;Salsa20Engine_35_BinaryMutator
73;346;Salsa20Engine_36_BinaryMutator
74;343;Salsa20Engine_37_BinaryMutator
75;345;Salsa20Engine_38_BinaryMutator
76;344;Salsa20Engine_39_BinaryMutator
77;346;Salsa20Engine_40_BinaryMutator
78;342;Salsa20Engine_41_BinaryMutator
79;345;Salsa20Engine_42_BinaryMutator
80;347;Salsa20Engine_43_BinaryMutator
81;343;Salsa20Engine_44_BinaryMutator
82;347;Salsa20Engine_45_BinaryMutator
83;346;Salsa20Engine_46_BinaryMutator
84;344;Salsa20Engine_47_BinaryMutator
85;308;CryptoUtils_0_BinaryMutator
86;138;CryptoUtils_1_BinaryMutator
87;306;CryptoUtils_2_BinaryMutator
88;143;CryptoUtils_3_BinaryMutator
89;344;KeyStoreHandle_0_BinaryMutator
90;345;VaultManager_0_NullIntentOperatorMutator
91;345;VaultManager_1_InvalidKeyIntentOperatorMutator
92;344;VaultManager_2_RandomActionIntentDefinitionOperatorMutator
93;344;VaultBackupManager_0_BinaryMutator
94;346;VaultBackupManager_1_BinaryMutator
95;346;VaultBackupManager_2_BinaryMutator
96;322;VaultBackupManager_3_BinaryMutator
97;471;VaultBackupManager_4_BinaryMutator
98;346;VaultBackupManager_5_BinaryMutator
99;344;AndOtpImporter_0_BinaryMutator
100;344;AndOtpImporter_1_BinaryMutator
101;347;AndOtpImporter_2_BinaryMutator
102;348;AndOtpImporter_3_BinaryMutator
103;347;AndOtpImporter_4_BinaryMutator
104;347;AndOtpImporter_5_BinaryMutator
105;346;AndOtpImporter_6_BinaryMutator
106;464;AndOtpImporter_7_BinaryMutator
107;344;AndOtpImporter_8_BuggyGUIListenerOperatorMutator
108;345;TotpAuthenticatorImporter_0_BuggyGUIListenerOperatorMutator
109;345;TotpAuthenticatorImporter_1_BuggyGUIListenerOperatorMutator
110;306;HotpInfo_0_BinaryMutator
111;120;TotpInfo_0_BinaryMutator
112;323;TotpInfo_1_BinaryMutator
113;436;TotpInfo_2_BinaryMutator
114;466;GoogleAuthInfo_0_BinaryMutator
115;458;YandexInfo_0_BinaryMutator
116;448;YandexInfo_1_BinaryMutator
117;456;YandexInfo_2_BinaryMutator
118;459;YandexInfo_3_BinaryMutator
119;437;YandexInfo_4_BinaryMutator
120;431;YandexInfo_5_BinaryMutator
121;434;YandexInfo_6_BinaryMutator
122;440;YandexInfo_7_BinaryMutator
123;429;NotificationService_0_NullIntentOperatorMutator
124;433;NotificationService_1_InvalidKeyIntentOperatorMutator
125;431;NotificationService_2_RandomActionIntentDefinitionOperatorMutator
126;439;NotificationService_3_RandomActionIntentDefinitionOperatorMutator
127;440;NotificationService_4_RandomActionIntentDefinitionOperatorMutator
128;435;LaunchScannerTileService_0_NullIntentOperatorMutator
129;431;LaunchScannerTileService_1_InvalidKeyIntentOperatorMutator
