Id_Index;ExecTime(s);Mutant
1;354;ORIGINAL_PROGRAM
2;244;HOTP_0_BinaryMutator
3;294;HOTP_1_BinaryMutator
4;311;HOTP_2_BinaryMutator
5;237;HOTP_3_BinaryMutator
6;325;MOTP_0_BinaryMutator
7;345;MOTP_1_BinaryMutator
8;377;YAOTP_0_BinaryMutator
9;293;YAOTP_1_BinaryMutator
10;336;YAOTP_2_BinaryMutator
11;264;YAOTP_3_BinaryMutator
12;310;YAOTP_4_BinaryMutator
13;308;TOTP_0_BinaryMutator
14;308;TOTP_1_BinaryMutator
15;90;SCrypt_0_BinaryMutator
16;458;SCrypt_1_BinaryMutator
17;307;SCrypt_2_BinaryMutator
18;299;SCrypt_3_BinaryMutator
19;296;SCrypt_4_BinaryMutator
20;310;SCrypt_5_BinaryMutator
21;306;SCrypt_6_BinaryMutator
22;89;SCrypt_7_BinaryMutator
23;94;SCrypt_8_BinaryMutator
24;307;SCrypt_9_BinaryMutator
25;90;SCrypt_10_BinaryMutator
26;91;SCrypt_11_BinaryMutator
27;93;SCrypt_12_BinaryMutator
28;93;SCrypt_13_BinaryMutator
29;306;SCrypt_14_BinaryMutator
30;89;SCrypt_15_BinaryMutator
31;299;SCrypt_16_BinaryMutator
32;90;SCrypt_17_BinaryMutator
33;90;SCrypt_18_BinaryMutator
34;305;SCrypt_19_BinaryMutator
35;91;SCrypt_20_BinaryMutator
36;90;SCrypt_21_BinaryMutator
37;307;Salsa20Engine_0_BinaryMutator
38;305;Salsa20Engine_1_BinaryMutator
39;421;Salsa20Engine_2_BinaryMutator
40;414;Salsa20Engine_3_BinaryMutator
41;343;Salsa20Engine_4_BinaryMutator
42;319;Salsa20Engine_5_BinaryMutator
43;319;Salsa20Engine_6_BinaryMutator
44;317;Salsa20Engine_7_BinaryMutator
45;324;Salsa20Engine_8_BinaryMutator
46;313;Salsa20Engine_9_BinaryMutator
47;310;Salsa20Engine_10_BinaryMutator
48;311;Salsa20Engine_11_BinaryMutator
49;308;Salsa20Engine_12_BinaryMutator
50;312;Salsa20Engine_13_BinaryMutator
51;310;Salsa20Engine_14_BinaryMutator
52;307;Salsa20Engine_15_BinaryMutator
53;309;Salsa20Engine_16_BinaryMutator
54;309;Salsa20Engine_17_BinaryMutator
55;448;Salsa20Engine_18_BinaryMutator
56;308;Salsa20Engine_19_BinaryMutator
57;310;Salsa20Engine_20_BinaryMutator
58;308;Salsa20Engine_21_BinaryMutator
59;306;Salsa20Engine_22_BinaryMutator
60;308;Salsa20Engine_23_BinaryMutator
61;456;Salsa20Engine_24_BinaryMutator
62;308;Salsa20Engine_25_BinaryMutator
63;308;Salsa20Engine_26_BinaryMutator
64;305;Salsa20Engine_27_BinaryMutator
65;308;Salsa20Engine_28_BinaryMutator
66;309;Salsa20Engine_29_BinaryMutator
67;308;Salsa20Engine_30_BinaryMutator
68;308;Salsa20Engine_31_BinaryMutator
69;307;Salsa20Engine_32_BinaryMutator
70;310;Salsa20Engine_33_BinaryMutator
71;306;Salsa20Engine_34_BinaryMutator
72;309;Salsa20Engine_35_BinaryMutator
73;309;Salsa20Engine_36_BinaryMutator
74;306;Salsa20Engine_37_BinaryMutator
75;308;Salsa20Engine_38_BinaryMutator
76;308;Salsa20Engine_39_BinaryMutator
77;308;Salsa20Engine_40_BinaryMutator
78;305;Salsa20Engine_41_BinaryMutator
79;309;Salsa20Engine_42_BinaryMutator
80;310;Salsa20Engine_43_BinaryMutator
81;306;Salsa20Engine_44_BinaryMutator
82;309;Salsa20Engine_45_BinaryMutator
83;309;Salsa20Engine_46_BinaryMutator
84;307;Salsa20Engine_47_BinaryMutator
85;271;CryptoUtils_0_BinaryMutator
86;101;CryptoUtils_1_BinaryMutator
87;270;CryptoUtils_2_BinaryMutator
88;106;CryptoUtils_3_BinaryMutator
89;307;KeyStoreHandle_0_BinaryMutator
90;308;VaultManager_0_NullIntentOperatorMutator
91;308;VaultManager_1_InvalidKeyIntentOperatorMutator
92;307;VaultManager_2_RandomActionIntentDefinitionOperatorMutator
93;307;VaultBackupManager_0_BinaryMutator
94;308;VaultBackupManager_1_BinaryMutator
95;309;VaultBackupManager_2_BinaryMutator
96;285;VaultBackupManager_3_BinaryMutator
97;434;VaultBackupManager_4_BinaryMutator
98;309;VaultBackupManager_5_BinaryMutator
99;307;AndOtpImporter_0_BinaryMutator
100;307;AndOtpImporter_1_BinaryMutator
101;310;AndOtpImporter_2_BinaryMutator
102;311;AndOtpImporter_3_BinaryMutator
103;311;AndOtpImporter_4_BinaryMutator
104;310;AndOtpImporter_5_BinaryMutator
105;309;AndOtpImporter_6_BinaryMutator
106;427;AndOtpImporter_7_BinaryMutator
107;307;AndOtpImporter_8_BuggyGUIListenerOperatorMutator
108;308;TotpAuthenticatorImporter_0_BuggyGUIListenerOperatorMutator
109;308;TotpAuthenticatorImporter_1_BuggyGUIListenerOperatorMutator
110;269;HotpInfo_0_BinaryMutator
111;83;TotpInfo_0_BinaryMutator
112;276;TotpInfo_1_BinaryMutator
113;390;TotpInfo_2_BinaryMutator
114;420;GoogleAuthInfo_0_BinaryMutator
115;411;YandexInfo_0_BinaryMutator
116;403;YandexInfo_1_BinaryMutator
117;411;YandexInfo_2_BinaryMutator
118;413;YandexInfo_3_BinaryMutator
119;391;YandexInfo_4_BinaryMutator
120;385;YandexInfo_5_BinaryMutator
121;389;YandexInfo_6_BinaryMutator
122;395;YandexInfo_7_BinaryMutator
123;384;NotificationService_0_NullIntentOperatorMutator
124;387;NotificationService_1_InvalidKeyIntentOperatorMutator
125;386;NotificationService_2_RandomActionIntentDefinitionOperatorMutator
126;392;NotificationService_3_RandomActionIntentDefinitionOperatorMutator
127;394;NotificationService_4_RandomActionIntentDefinitionOperatorMutator
128;390;LaunchScannerTileService_0_NullIntentOperatorMutator
129;385;LaunchScannerTileService_1_InvalidKeyIntentOperatorMutator
130;385;LaunchScannerTileService_2_RandomActionIntentDefinitionOperatorMutator
131;393;LaunchScannerTileService_3_NullValueIntentPutExtraOperatorMutator
132;391;LaunchScannerTileService_4_IntentPayloadReplacementOperatorMutator
133;392;LaunchScannerTileService_5_RandomActionIntentDefinitionOperatorMutator
134;391;LaunchScannerTileService_6_RandomActionIntentDefinitionOperatorMutator
135;388;LaunchScannerTileService_7_RandomActionIntentDefinitionOperatorMutator
136;388;LaunchAppTileService_0_NullIntentOperatorMutator
137;392;LaunchAppTileService_1_InvalidKeyIntentOperatorMutator
138;386;LaunchAppTileService_2_RandomActionIntentDefinitionOperatorMutator
139;385;LaunchAppTileService_3_RandomActionIntentDefinitionOperatorMutator
140;391;LaunchAppTileService_4_RandomActionIntentDefinitionOperatorMutator
141;392;TimeUtils_0_BinaryMutator
142;390;TimeUtils_1_BinaryMutator
143;362;FavoriteComparator_0_BinaryMutator
144;390;MetricsHelper_0_BinaryMutator
145;281;MetricsHelper_1_BinaryMutator
146;391;BitmapHelper_0_BinaryMutator
147;385;BitmapHelper_1_BinaryMutator
148;390;BitmapHelper_2_BinaryMutator
149;395;BitmapHelper_3_BinaryMutator
150;388;QrCodeHelper_0_BinaryMutator
151;391;QrCodeHelper_1_BinaryMutator
152;385;QrCodeHelper_2_BinaryMutator
153;388;QrCodeHelper_3_BinaryMutator
154;244;QrCodeHelper_4_BinaryMutator
155;368;QrCodeHelper_5_BinaryMutator
156;391;QrCodeHelper_6_BinaryMutator
157;240;QrCodeHelper_7_BinaryMutator
158;391;FabScrollHelper_0_BinaryMutator
159;395;IconPickerDialog_0_InvalidViewFocusOperatorMutator
160;396;IconPickerDialog_1_ViewComponentNotVisibleOperatorMutator
161;396;IconPickerDialog_2_InvalidViewFocusOperatorMutator
162;384;IconPickerDialog_3_ViewComponentNotVisibleOperatorMutator
163;387;IconPickerDialog_4_InvalidViewFocusOperatorMutator
164;387;IconPickerDialog_5_ViewComponentNotVisibleOperatorMutator
165;406;IconPickerDialog_6_InvalidViewFocusOperatorMutator
166;391;IconPickerDialog_7_ViewComponentNotVisibleOperatorMutator
167;398;IconPickerDialog_8_BuggyGUIListenerOperatorMutator
168;395;Dialogs_0_InvalidViewFocusOperatorMutator
169;396;Dialogs_1_ViewComponentNotVisibleOperatorMutator
170;392;Dialogs_2_InvalidViewFocusOperatorMutator
171;391;Dialogs_3_ViewComponentNotVisibleOperatorMutator
172;393;Dialogs_4_InvalidViewFocusOperatorMutator
173;328;Dialogs_5_ViewComponentNotVisibleOperatorMutator
174;391;Dialogs_6_InvalidViewFocusOperatorMutator
175;344;Dialogs_7_ViewComponentNotVisibleOperatorMutator
176;391;Dialogs_8_InvalidViewFocusOperatorMutator
177;392;Dialogs_9_ViewComponentNotVisibleOperatorMutator
178;391;Dialogs_10_InvalidViewFocusOperatorMutator
179;393;Dialogs_11_ViewComponentNotVisibleOperatorMutator
180;393;Dialogs_12_InvalidViewFocusOperatorMutator
181;331;Dialogs_13_ViewComponentNotVisibleOperatorMutator
182;393;Dialogs_14_InvalidViewFocusOperatorMutator
183;395;Dialogs_15_ViewComponentNotVisibleOperatorMutator
184;349;Dialogs_16_BuggyGUIListenerOperatorMutator
185;395;Dialogs_17_InvalidViewFocusOperatorMutator
186;355;Dialogs_18_ViewComponentNotVisibleOperatorMutator
187;386;Dialogs_19_InvalidViewFocusOperatorMutator
188;357;Dialogs_20_ViewComponentNotVisibleOperatorMutator
189;365;Dialogs_21_BuggyGUIListenerOperatorMutator
190;393;Dialogs_22_InvalidViewFocusOperatorMutator
191;387;Dialogs_23_ViewComponentNotVisibleOperatorMutator
192;385;Dialogs_24_BuggyGUIListenerOperatorMutator
193;398;Dialogs_25_BuggyGUIListenerOperatorMutator
194;394;Dialogs_26_InvalidViewFocusOperatorMutator
195;393;Dialogs_27_ViewComponentNotVisibleOperatorMutator
196;394;Dialogs_28_BuggyGUIListenerOperatorMutator
197;399;Dialogs_29_BinaryMutator
198;391;Dialogs_30_BinaryMutator
199;395;Dialogs_31_BinaryMutator
200;397;Dialogs_32_InvalidViewFocusOperatorMutator
201;394;Dialogs_33_ViewComponentNotVisibleOperatorMutator
202;393;Dialogs_34_BinaryMutator
203;395;Dialogs_35_BinaryMutator
204;386;Dialogs_36_BinaryMutator
205;395;Dialogs_37_BuggyGUIListenerOperatorMutator
206;390;Dialogs_38_InvalidViewFocusOperatorMutator
207;396;Dialogs_39_ViewComponentNotVisibleOperatorMutator
208;396;Dialogs_40_InvalidViewFocusOperatorMutator
209;385;Dialogs_41_ViewComponentNotVisibleOperatorMutator
210;388;Dialogs_42_BuggyGUIListenerOperatorMutator
211;391;Dialogs_43_BuggyGUIListenerOperatorMutator
212;392;Dialogs_44_BuggyGUIListenerOperatorMutator
213;390;Dialogs_45_BuggyGUIListenerOperatorMutator
214;396;Dialogs_46_BuggyGUIListenerOperatorMutator
215;397;Dialogs_47_BuggyGUIListenerOperatorMutator
216;393;Dialogs_48_BuggyGUIListenerOperatorMutator
217;392;Dialogs_49_InvalidViewFocusOperatorMutator
218;393;Dialogs_50_ViewComponentNotVisibleOperatorMutator
219;392;Dialogs_51_BuggyGUIListenerOperatorMutator
220;397;Dialogs_52_BuggyGUIListenerOperatorMutator
221;385;Dialogs_53_InvalidViewFocusOperatorMutator
222;389;Dialogs_54_ViewComponentNotVisibleOperatorMutator
223;398;Dialogs_55_InvalidViewFocusOperatorMutator
224;390;Dialogs_56_ViewComponentNotVisibleOperatorMutator
225;390;Dialogs_57_BuggyGUIListenerOperatorMutator
226;387;Dialogs_58_BinaryMutator
227;399;Dialogs_59_InvalidViewFocusOperatorMutator
228;331;Dialogs_60_ViewComponentNotVisibleOperatorMutator
229;391;Dialogs_61_BuggyGUIListenerOperatorMutator
230;391;Dialogs_62_BuggyGUIListenerOperatorMutator
231;389;SimpleWebViewDialog_0_InvalidViewFocusOperatorMutator
232;390;SimpleWebViewDialog_1_ViewComponentNotVisibleOperatorMutator
233;388;WelcomeSlide_0_BuggyGUIListenerOperatorMutator
234;387;WelcomeSlide_1_InvalidKeyIntentOperatorMutator
235;384;WelcomeSlide_2_RandomActionIntentDefinitionOperatorMutator
236;394;WelcomeSlide_3_RandomActionIntentDefinitionOperatorMutator
237;383;SecurityPickerSlide_0_InvalidViewFocusOperatorMutator
238;219;SecurityPickerSlide_1_ViewComponentNotVisibleOperatorMutator
239;389;SecurityPickerSlide_2_InvalidViewFocusOperatorMutator
240;385;SecurityPickerSlide_3_ViewComponentNotVisibleOperatorMutator
241;393;SecurityPickerSlide_4_InvalidViewFocusOperatorMutator
242;392;SecurityPickerSlide_5_ViewComponentNotVisibleOperatorMutator
243;391;SecuritySetupSlide_0_InvalidViewFocusOperatorMutator
