Id_Index;ExecTime(s);Mutant
1;450;ORIGINAL_PROGRAM
777;485;AboutActivity_10_ViewComponentNotVisibleOperatorMutator
781;461;AboutActivity_14_InvalidViewFocusOperatorMutator
782;464;AboutActivity_15_ViewComponentNotVisibleOperatorMutator
785;453;AboutActivity_18_InvalidViewFocusOperatorMutator
786;455;AboutActivity_19_ViewComponentNotVisibleOperatorMutator
790;455;AboutActivity_23_InvalidViewFocusOperatorMutator
791;450;AboutActivity_24_ViewComponentNotVisibleOperatorMutator
795;457;AboutActivity_28_InvalidViewFocusOperatorMutator
796;460;AboutActivity_29_ViewComponentNotVisibleOperatorMutator
800;453;AboutActivity_33_InvalidViewFocusOperatorMutator
801;449;AboutActivity_34_ViewComponentNotVisibleOperatorMutator
805;586;AboutActivity_38_InvalidViewFocusOperatorMutator
806;454;AboutActivity_39_ViewComponentNotVisibleOperatorMutator
771;453;AboutActivity_4_InvalidViewFocusOperatorMutator
810;451;AboutActivity_43_InvalidViewFocusOperatorMutator
811;454;AboutActivity_44_ViewComponentNotVisibleOperatorMutator
815;309;AboutActivity_48_InvalidViewFocusOperatorMutator
816;461;AboutActivity_49_ViewComponentNotVisibleOperatorMutator
772;460;AboutActivity_5_ViewComponentNotVisibleOperatorMutator
820;454;AboutActivity_53_InvalidViewFocusOperatorMutator
821;455;AboutActivity_54_ViewComponentNotVisibleOperatorMutator
826;308;AboutActivity_59_RandomActionIntentDefinitionOperatorMutator
827;450;AboutActivity_60_RandomActionIntentDefinitionOperatorMutator
831;456;AboutActivity_64_RandomActionIntentDefinitionOperatorMutator
834;456;AboutActivity_67_RandomActionIntentDefinitionOperatorMutator
837;455;AboutActivity_70_RandomActionIntentDefinitionOperatorMutator
776;454;AboutActivity_9_InvalidViewFocusOperatorMutator
970;415;AegisActivity_4_RandomActionIntentDefinitionOperatorMutator
977;455;AegisApplicationBase_1_RandomActionIntentDefinitionOperatorMutator
983;454;AegisApplicationBase_7_RandomActionIntentDefinitionOperatorMutator
984;456;AegisApplicationBase_8_RandomActionIntentDefinitionOperatorMutator
985;105;AegisApplicationBase_9_RandomActionIntentDefinitionOperatorMutator
341;450;AppearancePreferencesFragment_13_RandomActionIntentDefinitionOperatorMutator
344;451;AppearancePreferencesFragment_16_RandomActionIntentDefinitionOperatorMutator
347;453;AppearancePreferencesFragment_19_RandomActionIntentDefinitionOperatorMutator
350;454;AppearancePreferencesFragment_22_RandomActionIntentDefinitionOperatorMutator
334;454;AppearancePreferencesFragment_6_RandomActionIntentDefinitionOperatorMutator
337;457;AppearancePreferencesFragment_9_RandomActionIntentDefinitionOperatorMutator
578;450;AuthActivity_11_InvalidViewFocusOperatorMutator
579;448;AuthActivity_12_ViewComponentNotVisibleOperatorMutator
582;520;AuthActivity_15_InvalidViewFocusOperatorMutator
583;457;AuthActivity_16_ViewComponentNotVisibleOperatorMutator
570;455;AuthActivity_3_InvalidViewFocusOperatorMutator
571;444;AuthActivity_4_ViewComponentNotVisibleOperatorMutator
574;457;AuthActivity_7_InvalidViewFocusOperatorMutator
575;458;AuthActivity_8_ViewComponentNotVisibleOperatorMutator
311;460;BackupsPreferencesFragment_5_RandomActionIntentDefinitionOperatorMutator
411;456;BehaviorPreferencesFragment_2_RandomActionIntentDefinitionOperatorMutator
414;455;BehaviorPreferencesFragment_5_RandomActionIntentDefinitionOperatorMutator
417;456;BehaviorPreferencesFragment_8_RandomActionIntentDefinitionOperatorMutator
168;447;Dialogs_0_InvalidViewFocusOperatorMutator
169;454;Dialogs_1_ViewComponentNotVisibleOperatorMutator
178;459;Dialogs_10_InvalidViewFocusOperatorMutator
179;456;Dialogs_11_ViewComponentNotVisibleOperatorMutator
180;453;Dialogs_12_InvalidViewFocusOperatorMutator
181;406;Dialogs_13_ViewComponentNotVisibleOperatorMutator
182;465;Dialogs_14_InvalidViewFocusOperatorMutator
183;459;Dialogs_15_ViewComponentNotVisibleOperatorMutator
185;455;Dialogs_17_InvalidViewFocusOperatorMutator
186;420;Dialogs_18_ViewComponentNotVisibleOperatorMutator
187;455;Dialogs_19_InvalidViewFocusOperatorMutator
170;455;Dialogs_2_InvalidViewFocusOperatorMutator
188;416;Dialogs_20_ViewComponentNotVisibleOperatorMutator
190;450;Dialogs_22_InvalidViewFocusOperatorMutator
191;452;Dialogs_23_ViewComponentNotVisibleOperatorMutator
194;457;Dialogs_26_InvalidViewFocusOperatorMutator
195;539;Dialogs_27_ViewComponentNotVisibleOperatorMutator
171;461;Dialogs_3_ViewComponentNotVisibleOperatorMutator
200;460;Dialogs_32_InvalidViewFocusOperatorMutator
201;455;Dialogs_33_ViewComponentNotVisibleOperatorMutator
206;430;Dialogs_38_InvalidViewFocusOperatorMutator
207;455;Dialogs_39_ViewComponentNotVisibleOperatorMutator
172;462;Dialogs_4_InvalidViewFocusOperatorMutator
208;461;Dialogs_40_InvalidViewFocusOperatorMutator
209;458;Dialogs_41_ViewComponentNotVisibleOperatorMutator
217;456;Dialogs_49_InvalidViewFocusOperatorMutator
173;393;Dialogs_5_ViewComponentNotVisibleOperatorMutator
218;454;Dialogs_50_ViewComponentNotVisibleOperatorMutator
221;457;Dialogs_53_InvalidViewFocusOperatorMutator
222;456;Dialogs_54_ViewComponentNotVisibleOperatorMutator
223;453;Dialogs_55_InvalidViewFocusOperatorMutator
224;456;Dialogs_56_ViewComponentNotVisibleOperatorMutator
227;458;Dialogs_59_InvalidViewFocusOperatorMutator
174;463;Dialogs_6_InvalidViewFocusOperatorMutator
228;458;Dialogs_60_ViewComponentNotVisibleOperatorMutator
175;413;Dialogs_7_ViewComponentNotVisibleOperatorMutator
176;454;Dialogs_8_InvalidViewFocusOperatorMutator
177;447;Dialogs_9_ViewComponentNotVisibleOperatorMutator
420;452;DropdownCheckBoxes_0_InvalidViewFocusOperatorMutator
421;460;DropdownCheckBoxes_1_ViewComponentNotVisibleOperatorMutator
848;459;EditEntryActivity_10_ViewComponentNotVisibleOperatorMutator
948;453;EditEntryActivity_110_RandomActionIntentDefinitionOperatorMutator
952;459;EditEntryActivity_114_RandomActionIntentDefinitionOperatorMutator
956;447;EditEntryActivity_118_RandomActionIntentDefinitionOperatorMutator
962;325;EditEntryActivity_124_RandomActionIntentDefinitionOperatorMutator
965;450;EditEntryActivity_127_RandomActionIntentDefinitionOperatorMutator
851;457;EditEntryActivity_13_InvalidViewFocusOperatorMutator
852;463;EditEntryActivity_14_ViewComponentNotVisibleOperatorMutator
855;310;EditEntryActivity_17_InvalidViewFocusOperatorMutator
856;316;EditEntryActivity_18_ViewComponentNotVisibleOperatorMutator
859;309;EditEntryActivity_21_InvalidViewFocusOperatorMutator
860;309;EditEntryActivity_22_ViewComponentNotVisibleOperatorMutator
863;457;EditEntryActivity_25_InvalidViewFocusOperatorMutator
864;460;EditEntryActivity_26_ViewComponentNotVisibleOperatorMutator
867;457;EditEntryActivity_29_InvalidViewFocusOperatorMutator
868;537;EditEntryActivity_30_ViewComponentNotVisibleOperatorMutator
871;454;EditEntryActivity_33_InvalidViewFocusOperatorMutator
872;456;EditEntryActivity_34_ViewComponentNotVisibleOperatorMutator
875;455;EditEntryActivity_37_InvalidViewFocusOperatorMutator
876;453;EditEntryActivity_38_ViewComponentNotVisibleOperatorMutator
879;311;EditEntryActivity_41_InvalidViewFocusOperatorMutator
880;315;EditEntryActivity_42_ViewComponentNotVisibleOperatorMutator
883;312;EditEntryActivity_45_InvalidViewFocusOperatorMutator
884;390;EditEntryActivity_46_ViewComponentNotVisibleOperatorMutator
887;327;EditEntryActivity_49_InvalidViewFocusOperatorMutator
843;421;EditEntryActivity_5_InvalidViewFocusOperatorMutator
888;448;EditEntryActivity_50_ViewComponentNotVisibleOperatorMutator
891;453;EditEntryActivity_53_InvalidViewFocusOperatorMutator
892;451;EditEntryActivity_54_ViewComponentNotVisibleOperatorMutator
895;315;EditEntryActivity_57_InvalidViewFocusOperatorMutator
896;457;EditEntryActivity_58_ViewComponentNotVisibleOperatorMutator
844;454;EditEntryActivity_6_ViewComponentNotVisibleOperatorMutator
899;464;EditEntryActivity_61_InvalidViewFocusOperatorMutator
900;336;EditEntryActivity_62_ViewComponentNotVisibleOperatorMutator
903;456;EditEntryActivity_65_InvalidViewFocusOperatorMutator
904;452;EditEntryActivity_66_ViewComponentNotVisibleOperatorMutator
907;455;EditEntryActivity_69_InvalidViewFocusOperatorMutator
908;451;EditEntryActivity_70_ViewComponentNotVisibleOperatorMutator
911;451;EditEntryActivity_73_InvalidViewFocusOperatorMutator
912;414;EditEntryActivity_74_ViewComponentNotVisibleOperatorMutator
915;453;EditEntryActivity_77_InvalidViewFocusOperatorMutator
916;460;EditEntryActivity_78_ViewComponentNotVisibleOperatorMutator
919;456;EditEntryActivity_81_InvalidViewFocusOperatorMutator
920;417;EditEntryActivity_82_ViewComponentNotVisibleOperatorMutator
923;463;EditEntryActivity_85_InvalidViewFocusOperatorMutator
924;451;EditEntryActivity_86_ViewComponentNotVisibleOperatorMutator
927;299;EditEntryActivity_89_InvalidViewFocusOperatorMutator
847;456;EditEntryActivity_9_InvalidViewFocusOperatorMutator
928;334;EditEntryActivity_90_ViewComponentNotVisibleOperatorMutator
931;454;EditEntryActivity_93_InvalidViewFocusOperatorMutator
932;317;EditEntryActivity_94_ViewComponentNotVisibleOperatorMutator
936;450;EditEntryActivity_98_InvalidViewFocusOperatorMutator
937;451;EditEntryActivity_99_ViewComponentNotVisibleOperatorMutator
464;453;EntryAdapter_11_InvalidViewFocusOperatorMutator
465;456;EntryAdapter_12_ViewComponentNotVisibleOperatorMutator
489;454;EntryHolder_0_InvalidViewFocusOperatorMutator
490;457;EntryHolder_1_ViewComponentNotVisibleOperatorMutator
499;455;EntryHolder_10_InvalidViewFocusOperatorMutator
500;448;EntryHolder_11_ViewComponentNotVisibleOperatorMutator
501;449;EntryHolder_12_InvalidViewFocusOperatorMutator
502;448;EntryHolder_13_ViewComponentNotVisibleOperatorMutator
503;453;EntryHolder_14_InvalidViewFocusOperatorMutator
