Id_Index;ExecTime(s);Mutant
1;404;ORIGINAL_PROGRAM
777;440;AboutActivity_10_ViewComponentNotVisibleOperatorMutator
781;415;AboutActivity_14_InvalidViewFocusOperatorMutator
782;418;AboutActivity_15_ViewComponentNotVisibleOperatorMutator
785;407;AboutActivity_18_InvalidViewFocusOperatorMutator
786;409;AboutActivity_19_ViewComponentNotVisibleOperatorMutator
790;410;AboutActivity_23_InvalidViewFocusOperatorMutator
791;404;AboutActivity_24_ViewComponentNotVisibleOperatorMutator
795;411;AboutActivity_28_InvalidViewFocusOperatorMutator
796;414;AboutActivity_29_ViewComponentNotVisibleOperatorMutator
800;408;AboutActivity_33_InvalidViewFocusOperatorMutator
801;404;AboutActivity_34_ViewComponentNotVisibleOperatorMutator
805;540;AboutActivity_38_InvalidViewFocusOperatorMutator
806;409;AboutActivity_39_ViewComponentNotVisibleOperatorMutator
771;407;AboutActivity_4_InvalidViewFocusOperatorMutator
810;405;AboutActivity_43_InvalidViewFocusOperatorMutator
811;409;AboutActivity_44_ViewComponentNotVisibleOperatorMutator
815;263;AboutActivity_48_InvalidViewFocusOperatorMutator
816;415;AboutActivity_49_ViewComponentNotVisibleOperatorMutator
772;415;AboutActivity_5_ViewComponentNotVisibleOperatorMutator
820;409;AboutActivity_53_InvalidViewFocusOperatorMutator
821;410;AboutActivity_54_ViewComponentNotVisibleOperatorMutator
826;262;AboutActivity_59_RandomActionIntentDefinitionOperatorMutator
827;405;AboutActivity_60_RandomActionIntentDefinitionOperatorMutator
831;411;AboutActivity_64_RandomActionIntentDefinitionOperatorMutator
834;410;AboutActivity_67_RandomActionIntentDefinitionOperatorMutator
837;410;AboutActivity_70_RandomActionIntentDefinitionOperatorMutator
776;409;AboutActivity_9_InvalidViewFocusOperatorMutator
970;369;AegisActivity_4_RandomActionIntentDefinitionOperatorMutator
977;410;AegisApplicationBase_1_RandomActionIntentDefinitionOperatorMutator
983;409;AegisApplicationBase_7_RandomActionIntentDefinitionOperatorMutator
984;410;AegisApplicationBase_8_RandomActionIntentDefinitionOperatorMutator
985;60;AegisApplicationBase_9_RandomActionIntentDefinitionOperatorMutator
341;405;AppearancePreferencesFragment_13_RandomActionIntentDefinitionOperatorMutator
344;405;AppearancePreferencesFragment_16_RandomActionIntentDefinitionOperatorMutator
347;407;AppearancePreferencesFragment_19_RandomActionIntentDefinitionOperatorMutator
350;409;AppearancePreferencesFragment_22_RandomActionIntentDefinitionOperatorMutator
334;409;AppearancePreferencesFragment_6_RandomActionIntentDefinitionOperatorMutator
337;412;AppearancePreferencesFragment_9_RandomActionIntentDefinitionOperatorMutator
578;405;AuthActivity_11_InvalidViewFocusOperatorMutator
579;402;AuthActivity_12_ViewComponentNotVisibleOperatorMutator
582;475;AuthActivity_15_InvalidViewFocusOperatorMutator
583;412;AuthActivity_16_ViewComponentNotVisibleOperatorMutator
570;409;AuthActivity_3_InvalidViewFocusOperatorMutator
571;399;AuthActivity_4_ViewComponentNotVisibleOperatorMutator
574;412;AuthActivity_7_InvalidViewFocusOperatorMutator
575;413;AuthActivity_8_ViewComponentNotVisibleOperatorMutator
311;414;BackupsPreferencesFragment_5_RandomActionIntentDefinitionOperatorMutator
411;410;BehaviorPreferencesFragment_2_RandomActionIntentDefinitionOperatorMutator
414;409;BehaviorPreferencesFragment_5_RandomActionIntentDefinitionOperatorMutator
417;411;BehaviorPreferencesFragment_8_RandomActionIntentDefinitionOperatorMutator
168;401;Dialogs_0_InvalidViewFocusOperatorMutator
169;409;Dialogs_1_ViewComponentNotVisibleOperatorMutator
178;413;Dialogs_10_InvalidViewFocusOperatorMutator
179;411;Dialogs_11_ViewComponentNotVisibleOperatorMutator
180;408;Dialogs_12_InvalidViewFocusOperatorMutator
181;360;Dialogs_13_ViewComponentNotVisibleOperatorMutator
182;420;Dialogs_14_InvalidViewFocusOperatorMutator
183;413;Dialogs_15_ViewComponentNotVisibleOperatorMutator
185;409;Dialogs_17_InvalidViewFocusOperatorMutator
186;374;Dialogs_18_ViewComponentNotVisibleOperatorMutator
187;409;Dialogs_19_InvalidViewFocusOperatorMutator
170;410;Dialogs_2_InvalidViewFocusOperatorMutator
188;371;Dialogs_20_ViewComponentNotVisibleOperatorMutator
190;405;Dialogs_22_InvalidViewFocusOperatorMutator
191;406;Dialogs_23_ViewComponentNotVisibleOperatorMutator
194;412;Dialogs_26_InvalidViewFocusOperatorMutator
195;494;Dialogs_27_ViewComponentNotVisibleOperatorMutator
171;415;Dialogs_3_ViewComponentNotVisibleOperatorMutator
200;415;Dialogs_32_InvalidViewFocusOperatorMutator
201;410;Dialogs_33_ViewComponentNotVisibleOperatorMutator
206;384;Dialogs_38_InvalidViewFocusOperatorMutator
207;410;Dialogs_39_ViewComponentNotVisibleOperatorMutator
172;416;Dialogs_4_InvalidViewFocusOperatorMutator
208;415;Dialogs_40_InvalidViewFocusOperatorMutator
209;412;Dialogs_41_ViewComponentNotVisibleOperatorMutator
217;411;Dialogs_49_InvalidViewFocusOperatorMutator
173;348;Dialogs_5_ViewComponentNotVisibleOperatorMutator
218;409;Dialogs_50_ViewComponentNotVisibleOperatorMutator
221;412;Dialogs_53_InvalidViewFocusOperatorMutator
222;411;Dialogs_54_ViewComponentNotVisibleOperatorMutator
223;408;Dialogs_55_InvalidViewFocusOperatorMutator
224;410;Dialogs_56_ViewComponentNotVisibleOperatorMutator
227;412;Dialogs_59_InvalidViewFocusOperatorMutator
174;418;Dialogs_6_InvalidViewFocusOperatorMutator
228;412;Dialogs_60_ViewComponentNotVisibleOperatorMutator
175;368;Dialogs_7_ViewComponentNotVisibleOperatorMutator
176;408;Dialogs_8_InvalidViewFocusOperatorMutator
177;401;Dialogs_9_ViewComponentNotVisibleOperatorMutator
420;407;DropdownCheckBoxes_0_InvalidViewFocusOperatorMutator
421;415;DropdownCheckBoxes_1_ViewComponentNotVisibleOperatorMutator
848;414;EditEntryActivity_10_ViewComponentNotVisibleOperatorMutator
948;407;EditEntryActivity_110_RandomActionIntentDefinitionOperatorMutator
952;414;EditEntryActivity_114_RandomActionIntentDefinitionOperatorMutator
956;401;EditEntryActivity_118_RandomActionIntentDefinitionOperatorMutator
962;279;EditEntryActivity_124_RandomActionIntentDefinitionOperatorMutator
965;405;EditEntryActivity_127_RandomActionIntentDefinitionOperatorMutator
851;411;EditEntryActivity_13_InvalidViewFocusOperatorMutator
852;417;EditEntryActivity_14_ViewComponentNotVisibleOperatorMutator
855;265;EditEntryActivity_17_InvalidViewFocusOperatorMutator
856;271;EditEntryActivity_18_ViewComponentNotVisibleOperatorMutator
859;263;EditEntryActivity_21_InvalidViewFocusOperatorMutator
860;263;EditEntryActivity_22_ViewComponentNotVisibleOperatorMutator
863;411;EditEntryActivity_25_InvalidViewFocusOperatorMutator
864;415;EditEntryActivity_26_ViewComponentNotVisibleOperatorMutator
867;412;EditEntryActivity_29_InvalidViewFocusOperatorMutator
868;492;EditEntryActivity_30_ViewComponentNotVisibleOperatorMutator
871;408;EditEntryActivity_33_InvalidViewFocusOperatorMutator
872;410;EditEntryActivity_34_ViewComponentNotVisibleOperatorMutator
875;410;EditEntryActivity_37_InvalidViewFocusOperatorMutator
876;408;EditEntryActivity_38_ViewComponentNotVisibleOperatorMutator
879;266;EditEntryActivity_41_InvalidViewFocusOperatorMutator
880;270;EditEntryActivity_42_ViewComponentNotVisibleOperatorMutator
883;267;EditEntryActivity_45_InvalidViewFocusOperatorMutator
884;345;EditEntryActivity_46_ViewComponentNotVisibleOperatorMutator
887;282;EditEntryActivity_49_InvalidViewFocusOperatorMutator
843;375;EditEntryActivity_5_InvalidViewFocusOperatorMutator
888;402;EditEntryActivity_50_ViewComponentNotVisibleOperatorMutator
891;407;EditEntryActivity_53_InvalidViewFocusOperatorMutator
892;406;EditEntryActivity_54_ViewComponentNotVisibleOperatorMutator
895;269;EditEntryActivity_57_InvalidViewFocusOperatorMutator
896;411;EditEntryActivity_58_ViewComponentNotVisibleOperatorMutator
844;409;EditEntryActivity_6_ViewComponentNotVisibleOperatorMutator
899;419;EditEntryActivity_61_InvalidViewFocusOperatorMutator
900;290;EditEntryActivity_62_ViewComponentNotVisibleOperatorMutator
903;410;EditEntryActivity_65_InvalidViewFocusOperatorMutator
904;406;EditEntryActivity_66_ViewComponentNotVisibleOperatorMutator
907;409;EditEntryActivity_69_InvalidViewFocusOperatorMutator
908;406;EditEntryActivity_70_ViewComponentNotVisibleOperatorMutator
911;406;EditEntryActivity_73_InvalidViewFocusOperatorMutator
912;369;EditEntryActivity_74_ViewComponentNotVisibleOperatorMutator
915;407;EditEntryActivity_77_InvalidViewFocusOperatorMutator
916;414;EditEntryActivity_78_ViewComponentNotVisibleOperatorMutator
919;411;EditEntryActivity_81_InvalidViewFocusOperatorMutator
920;372;EditEntryActivity_82_ViewComponentNotVisibleOperatorMutator
923;416;EditEntryActivity_85_InvalidViewFocusOperatorMutator
924;405;EditEntryActivity_86_ViewComponentNotVisibleOperatorMutator
927;254;EditEntryActivity_89_InvalidViewFocusOperatorMutator
847;411;EditEntryActivity_9_InvalidViewFocusOperatorMutator
928;289;EditEntryActivity_90_ViewComponentNotVisibleOperatorMutator
931;408;EditEntryActivity_93_InvalidViewFocusOperatorMutator
932;272;EditEntryActivity_94_ViewComponentNotVisibleOperatorMutator
936;405;EditEntryActivity_98_InvalidViewFocusOperatorMutator
937;406;EditEntryActivity_99_ViewComponentNotVisibleOperatorMutator
464;408;EntryAdapter_11_InvalidViewFocusOperatorMutator
465;411;EntryAdapter_12_ViewComponentNotVisibleOperatorMutator
489;409;EntryHolder_0_InvalidViewFocusOperatorMutator
490;412;EntryHolder_1_ViewComponentNotVisibleOperatorMutator
499;410;EntryHolder_10_InvalidViewFocusOperatorMutator
500;403;EntryHolder_11_ViewComponentNotVisibleOperatorMutator
501;404;EntryHolder_12_InvalidViewFocusOperatorMutator
502;402;EntryHolder_13_ViewComponentNotVisibleOperatorMutator
503;407;EntryHolder_14_InvalidViewFocusOperatorMutator
504;409;EntryHolder_15_ViewComponentNotVisibleOperatorMutator
505;410;EntryHolder_16_InvalidViewFocusOperatorMutator
506;412;EntryHolder_17_ViewComponentNotVisibleOperatorMutator
507;405;EntryHolder_18_InvalidViewFocusOperatorMutator
508;408;EntryHolder_19_ViewComponentNotVisibleOperatorMutator
491;400;EntryHolder_2_InvalidViewFocusOperatorMutator
509;416;EntryHolder_20_InvalidViewFocusOperatorMutator
510;413;EntryHolder_21_ViewComponentNotVisibleOperatorMutator
511;407;EntryHolder_22_InvalidViewFocusOperatorMutator
512;411;EntryHolder_23_ViewComponentNotVisibleOperatorMutator
492;412;EntryHolder_3_ViewComponentNotVisibleOperatorMutator
493;404;EntryHolder_4_InvalidViewFocusOperatorMutator
494;405;EntryHolder_5_ViewComponentNotVisibleOperatorMutator
495;411;EntryHolder_6_InvalidViewFocusOperatorMutator
496;407;EntryHolder_7_ViewComponentNotVisibleOperatorMutator
497;412;EntryHolder_8_InvalidViewFocusOperatorMutator
498;406;EntryHolder_9_ViewComponentNotVisibleOperatorMutator
431;419;EntryListView_1_InvalidViewFocusOperatorMutator
440;381;EntryListView_10_ViewComponentNotVisibleOperatorMutator
441;407;EntryListView_11_InvalidViewFocusOperatorMutator
442;395;EntryListView_12_ViewComponentNotVisibleOperatorMutator
443;392;EntryListView_13_InvalidViewFocusOperatorMutator
444;418;EntryListView_14_ViewComponentNotVisibleOperatorMutator
448;414;EntryListView_18_InvalidViewFocusOperatorMutator
449;413;EntryListView_19_ViewComponentNotVisibleOperatorMutator
432;416;EntryListView_2_ViewComponentNotVisibleOperatorMutator
433;420;EntryListView_3_InvalidViewFocusOperatorMutator
434;419;EntryListView_4_ViewComponentNotVisibleOperatorMutator
435;418;EntryListView_5_InvalidViewFocusOperatorMutator
436;409;EntryListView_6_ViewComponentNotVisibleOperatorMutator
437;416;EntryListView_7_InvalidViewFocusOperatorMutator
438;410;EntryListView_8_ViewComponentNotVisibleOperatorMutator
439;412;EntryListView_9_InvalidViewFocusOperatorMutator
613;410;ExitActivity_4_RandomActionIntentDefinitionOperatorMutator
426;412;GroupHolder_0_InvalidViewFocusOperatorMutator
427;403;GroupHolder_1_ViewComponentNotVisibleOperatorMutator
428;406;GroupHolder_2_InvalidViewFocusOperatorMutator
429;406;GroupHolder_3_ViewComponentNotVisibleOperatorMutator
597;412;GroupManagerActivity_4_InvalidViewFocusOperatorMutator
598;410;GroupManagerActivity_5_ViewComponentNotVisibleOperatorMutator
601;422;GroupManagerActivity_8_InvalidViewFocusOperatorMutator
602;407;GroupManagerActivity_9_ViewComponentNotVisibleOperatorMutator
466;410;IconCategoryHolder_0_InvalidViewFocusOperatorMutator
467;411;IconCategoryHolder_1_ViewComponentNotVisibleOperatorMutator
468;414;IconCategoryHolder_2_InvalidViewFocusOperatorMutator
469;410;IconCategoryHolder_3_ViewComponentNotVisibleOperatorMutator
422;415;IconHolder_0_InvalidViewFocusOperatorMutator
423;412;IconHolder_1_ViewComponentNotVisibleOperatorMutator
424;407;IconHolder_2_InvalidViewFocusOperatorMutator
425;408;IconHolder_3_ViewComponentNotVisibleOperatorMutator
483;416;IconPackHolder_0_InvalidViewFocusOperatorMutator
484;413;IconPackHolder_1_ViewComponentNotVisibleOperatorMutator
485;404;IconPackHolder_2_InvalidViewFocusOperatorMutator
486;410;IconPackHolder_3_ViewComponentNotVisibleOperatorMutator
487;411;IconPackHolder_4_InvalidViewFocusOperatorMutator
488;413;IconPackHolder_5_ViewComponentNotVisibleOperatorMutator
312;409;IconPacksManagerFragment_0_InvalidViewFocusOperatorMutator
313;411;IconPacksManagerFragment_1_ViewComponentNotVisibleOperatorMutator
326;413;IconPacksManagerFragment_14_RandomActionIntentDefinitionOperatorMutator
315;414;IconPacksManagerFragment_3_InvalidViewFocusOperatorMutator
316;409;IconPacksManagerFragment_4_ViewComponentNotVisibleOperatorMutator
317;412;IconPacksManagerFragment_5_InvalidViewFocusOperatorMutator
318;405;IconPacksManagerFragment_6_ViewComponentNotVisibleOperatorMutator
319;259;IconPacksManagerFragment_7_InvalidViewFocusOperatorMutator
320;408;IconPacksManagerFragment_8_ViewComponentNotVisibleOperatorMutator
159;416;IconPickerDialog_0_InvalidViewFocusOperatorMutator
160;406;IconPickerDialog_1_ViewComponentNotVisibleOperatorMutator
161;410;IconPickerDialog_2_InvalidViewFocusOperatorMutator
162;412;IconPickerDialog_3_ViewComponentNotVisibleOperatorMutator
163;405;IconPickerDialog_4_InvalidViewFocusOperatorMutator
164;413;IconPickerDialog_5_ViewComponentNotVisibleOperatorMutator
165;411;IconPickerDialog_6_InvalidViewFocusOperatorMutator
166;411;IconPickerDialog_7_ViewComponentNotVisibleOperatorMutator
536;407;ImportEntriesActivity_4_InvalidViewFocusOperatorMutator
537;409;ImportEntriesActivity_5_ViewComponentNotVisibleOperatorMutator
540;410;ImportEntriesActivity_8_InvalidViewFocusOperatorMutator
541;411;ImportEntriesActivity_9_ViewComponentNotVisibleOperatorMutator
474;409;ImportEntryHolder_0_InvalidViewFocusOperatorMutator
475;405;ImportEntryHolder_1_ViewComponentNotVisibleOperatorMutator
476;410;ImportEntryHolder_2_InvalidViewFocusOperatorMutator
477;408;ImportEntryHolder_3_ViewComponentNotVisibleOperatorMutator
478;412;ImportEntryHolder_4_InvalidViewFocusOperatorMutator
479;415;ImportEntryHolder_5_ViewComponentNotVisibleOperatorMutator
