Id_Index;ExecTime(s);Mutant
1;44;ORIGINAL_PROGRAM
2;44;PackageReceiver_0_RandomActionIntentDefinitionOperatorMutator
3;42;PackageReceiver_1_RandomActionIntentDefinitionOperatorMutator
4;42;FtpTileService_0_RandomActionIntentDefinitionOperatorMutator
5;42;FtpTileService_1_NullValueIntentPutExtraOperatorMutator
6;42;FtpTileService_2_IntentPayloadReplacementOperatorMutator
7;42;FtpTileService_3_RandomActionIntentDefinitionOperatorMutator
8;42;ExtractService_0_LengthyGUICreationOperatorMutator
9;42;ExtractService_1_RandomActionIntentDefinitionOperatorMutator
10;42;ExtractService_2_NullIntentOperatorMutator
11;42;ExtractService_3_InvalidKeyIntentOperatorMutator
12;42;ExtractService_4_RandomActionIntentDefinitionOperatorMutator
13;42;ExtractService_5_RandomActionIntentDefinitionOperatorMutator
14;42;ExtractService_6_NullValueIntentPutExtraOperatorMutator
15;42;ExtractService_7_IntentPayloadReplacementOperatorMutator
16;42;ExtractService_8_RandomActionIntentDefinitionOperatorMutator
17;42;ExtractService_9_NullIntentOperatorMutator
18;42;ExtractService_10_InvalidKeyIntentOperatorMutator
19;42;ExtractService_11_RandomActionIntentDefinitionOperatorMutator
20;42;ExtractService_12_InvalidViewFocusOperatorMutator
21;42;ExtractService_13_ViewComponentNotVisibleOperatorMutator
22;42;ExtractService_14_NullIntentOperatorMutator
23;42;ExtractService_15_InvalidKeyIntentOperatorMutator
24;42;ExtractService_16_RandomActionIntentDefinitionOperatorMutator
25;42;ExtractService_17_NullValueIntentPutExtraOperatorMutator
26;42;ExtractService_18_IntentPayloadReplacementOperatorMutator
27;42;ExtractService_19_RandomActionIntentDefinitionOperatorMutator
28;42;AbstractProgressiveService_0_LengthyGUICreationOperatorMutator
29;42;AbstractProgressiveService_1_BinaryMutator
30;42;AbstractProgressiveService_2_BinaryMutator
31;42;AbstractProgressiveService_3_NullIntentOperatorMutator
32;42;AbstractProgressiveService_4_InvalidKeyIntentOperatorMutator
33;42;AbstractProgressiveService_5_RandomActionIntentDefinitionOperatorMutator
34;42;AbstractProgressiveService_6_NullValueIntentPutExtraOperatorMutator
35;42;AbstractProgressiveService_7_IntentPayloadReplacementOperatorMutator
36;42;AbstractProgressiveService_8_RandomActionIntentDefinitionOperatorMutator
37;42;AbstractProgressiveService_9_NullValueIntentPutExtraOperatorMutator
38;42;AbstractProgressiveService_10_IntentPayloadReplacementOperatorMutator
39;42;AbstractProgressiveService_11_RandomActionIntentDefinitionOperatorMutator
40;42;AbstractProgressiveService_12_NullIntentOperatorMutator
41;42;AbstractProgressiveService_13_InvalidKeyIntentOperatorMutator
42;42;AbstractProgressiveService_14_RandomActionIntentDefinitionOperatorMutator
43;42;AbstractProgressiveService_15_NullValueIntentPutExtraOperatorMutator
44;42;AbstractProgressiveService_16_IntentPayloadReplacementOperatorMutator
45;42;AbstractProgressiveService_17_RandomActionIntentDefinitionOperatorMutator
46;42;CopyService_0_LengthyGUICreationOperatorMutator
47;42;CopyService_1_RandomActionIntentDefinitionOperatorMutator
48;42;CopyService_2_NullIntentOperatorMutator
49;42;CopyService_3_InvalidKeyIntentOperatorMutator
50;42;CopyService_4_RandomActionIntentDefinitionOperatorMutator
51;42;CopyService_5_RandomActionIntentDefinitionOperatorMutator
52;42;CopyService_6_RandomActionIntentDefinitionOperatorMutator
53;42;CopyService_7_NullValueIntentPutExtraOperatorMutator
54;42;CopyService_8_IntentPayloadReplacementOperatorMutator
55;42;CopyService_9_RandomActionIntentDefinitionOperatorMutator
56;42;CopyService_10_NullIntentOperatorMutator
57;42;CopyService_11_InvalidKeyIntentOperatorMutator
58;42;CopyService_12_RandomActionIntentDefinitionOperatorMutator
59;42;CopyService_13_NullIntentOperatorMutator
60;42;CopyService_14_InvalidKeyIntentOperatorMutator
61;42;CopyService_15_RandomActionIntentDefinitionOperatorMutator
62;42;CopyService_16_NullValueIntentPutExtraOperatorMutator
63;42;CopyService_17_IntentPayloadReplacementOperatorMutator
64;42;CopyService_18_RandomActionIntentDefinitionOperatorMutator
65;42;EncryptService_0_LengthyGUICreationOperatorMutator
66;42;EncryptService_1_RandomActionIntentDefinitionOperatorMutator
67;42;EncryptService_2_NullIntentOperatorMutator
68;42;EncryptService_3_InvalidKeyIntentOperatorMutator
69;42;EncryptService_4_RandomActionIntentDefinitionOperatorMutator
70;42;EncryptService_5_RandomActionIntentDefinitionOperatorMutator
71;42;EncryptService_6_RandomActionIntentDefinitionOperatorMutator
72;42;EncryptService_7_NullValueIntentPutExtraOperatorMutator
73;42;EncryptService_8_IntentPayloadReplacementOperatorMutator
74;42;EncryptService_9_RandomActionIntentDefinitionOperatorMutator
75;42;EncryptService_10_NullIntentOperatorMutator
76;42;EncryptService_11_InvalidKeyIntentOperatorMutator
77;42;EncryptService_12_RandomActionIntentDefinitionOperatorMutator
78;42;EncryptService_13_NullIntentOperatorMutator
79;42;EncryptService_14_InvalidKeyIntentOperatorMutator
80;42;EncryptService_15_RandomActionIntentDefinitionOperatorMutator
81;42;EncryptService_16_NullValueIntentPutExtraOperatorMutator
82;42;EncryptService_17_IntentPayloadReplacementOperatorMutator
83;42;EncryptService_18_RandomActionIntentDefinitionOperatorMutator
84;42;DecryptService_0_LengthyGUICreationOperatorMutator
85;42;DecryptService_1_RandomActionIntentDefinitionOperatorMutator
86;42;DecryptService_2_NullIntentOperatorMutator
87;42;DecryptService_3_InvalidKeyIntentOperatorMutator
88;42;DecryptService_4_RandomActionIntentDefinitionOperatorMutator
89;42;DecryptService_5_RandomActionIntentDefinitionOperatorMutator
90;42;DecryptService_6_RandomActionIntentDefinitionOperatorMutator
91;42;DecryptService_7_NullValueIntentPutExtraOperatorMutator
92;42;DecryptService_8_IntentPayloadReplacementOperatorMutator
93;42;DecryptService_9_RandomActionIntentDefinitionOperatorMutator
94;42;DecryptService_10_NullIntentOperatorMutator
95;42;DecryptService_11_InvalidKeyIntentOperatorMutator
96;42;DecryptService_12_RandomActionIntentDefinitionOperatorMutator
97;42;DecryptService_13_NullIntentOperatorMutator
98;42;DecryptService_14_InvalidKeyIntentOperatorMutator
99;42;DecryptService_15_RandomActionIntentDefinitionOperatorMutator
100;42;DecryptService_16_NullValueIntentPutExtraOperatorMutator
101;42;DecryptService_17_IntentPayloadReplacementOperatorMutator
102;42;DecryptService_18_RandomActionIntentDefinitionOperatorMutator
103;42;CalculateHashCallback_0_BinaryMutator
104;42;LoadFolderSpaceDataTask_0_BinaryMutator
105;42;LoadFolderSpaceDataTask_1_BinaryMutator
106;42;DeleteTask_0_NullIntentOperatorMutator
107;42;DeleteTask_1_InvalidKeyIntentOperatorMutator
108;42;DeleteTask_2_RandomActionIntentDefinitionOperatorMutator
109;42;DeleteTask_3_NullValueIntentPutExtraOperatorMutator
110;42;DeleteTask_4_IntentPayloadReplacementOperatorMutator
111;42;DeleteTask_5_RandomActionIntentDefinitionOperatorMutator
112;42;LoadFilesListTask_0_BuggyGUIListenerOperatorMutator
113;42;LoadFilesListTask_1_BinaryMutator
114;42;LoadFilesListTask_2_BinaryMutator
115;42;LoadFilesListTask_3_BinaryMutator
116;42;LoadFilesListTask_4_BinaryMutator
117;42;LoadFilesListTask_5_RandomActionIntentDefinitionOperatorMutator
118;42;ServiceWatcherUtil_0_RandomActionIntentDefinitionOperatorMutator
119;42;ServiceWatcherUtil_1_RandomActionIntentDefinitionOperatorMutator
120;42;ErrorActivity_0_BinaryMutator
121;42;ErrorActivity_1_BuggyGUIListenerOperatorMutator
122;42;ErrorActivity_2_NullIntentOperatorMutator
123;42;ErrorActivity_3_InvalidKeyIntentOperatorMutator
124;42;ErrorActivity_4_RandomActionIntentDefinitionOperatorMutator
125;42;ErrorActivity_5_NullValueIntentPutExtraOperatorMutator
