Id_Index;ExecTime(s);Mutant
1;43;ORIGINAL_PROGRAM
2;44;PackageReceiver_0_RandomActionIntentDefinitionOperatorMutator
3;44;PackageReceiver_1_RandomActionIntentDefinitionOperatorMutator
4;44;FtpTileService_0_RandomActionIntentDefinitionOperatorMutator
5;44;FtpTileService_1_NullValueIntentPutExtraOperatorMutator
6;44;FtpTileService_2_IntentPayloadReplacementOperatorMutator
7;44;FtpTileService_3_RandomActionIntentDefinitionOperatorMutator
8;45;ExtractService_0_LengthyGUICreationOperatorMutator
9;44;ExtractService_1_RandomActionIntentDefinitionOperatorMutator
10;44;ExtractService_2_NullIntentOperatorMutator
11;44;ExtractService_3_InvalidKeyIntentOperatorMutator
12;44;ExtractService_4_RandomActionIntentDefinitionOperatorMutator
13;44;ExtractService_5_RandomActionIntentDefinitionOperatorMutator
14;44;ExtractService_6_NullValueIntentPutExtraOperatorMutator
15;43;ExtractService_7_IntentPayloadReplacementOperatorMutator
16;44;ExtractService_8_RandomActionIntentDefinitionOperatorMutator
17;43;ExtractService_9_NullIntentOperatorMutator
18;44;ExtractService_10_InvalidKeyIntentOperatorMutator
19;44;ExtractService_11_RandomActionIntentDefinitionOperatorMutator
20;44;ExtractService_12_InvalidViewFocusOperatorMutator
21;44;ExtractService_13_ViewComponentNotVisibleOperatorMutator
22;44;ExtractService_14_NullIntentOperatorMutator
23;44;ExtractService_15_InvalidKeyIntentOperatorMutator
24;43;ExtractService_16_RandomActionIntentDefinitionOperatorMutator
25;43;ExtractService_17_NullValueIntentPutExtraOperatorMutator
26;43;ExtractService_18_IntentPayloadReplacementOperatorMutator
27;44;ExtractService_19_RandomActionIntentDefinitionOperatorMutator
28;44;AbstractProgressiveService_0_LengthyGUICreationOperatorMutator
29;43;AbstractProgressiveService_1_BinaryMutator
30;44;AbstractProgressiveService_2_BinaryMutator
31;44;AbstractProgressiveService_3_NullIntentOperatorMutator
32;44;AbstractProgressiveService_4_InvalidKeyIntentOperatorMutator
33;44;AbstractProgressiveService_5_RandomActionIntentDefinitionOperatorMutator
34;43;AbstractProgressiveService_6_NullValueIntentPutExtraOperatorMutator
35;44;AbstractProgressiveService_7_IntentPayloadReplacementOperatorMutator
36;44;AbstractProgressiveService_8_RandomActionIntentDefinitionOperatorMutator
37;44;AbstractProgressiveService_9_NullValueIntentPutExtraOperatorMutator
38;44;AbstractProgressiveService_10_IntentPayloadReplacementOperatorMutator
39;44;AbstractProgressiveService_11_RandomActionIntentDefinitionOperatorMutator
40;44;AbstractProgressiveService_12_NullIntentOperatorMutator
41;44;AbstractProgressiveService_13_InvalidKeyIntentOperatorMutator
42;44;AbstractProgressiveService_14_RandomActionIntentDefinitionOperatorMutator
43;43;AbstractProgressiveService_15_NullValueIntentPutExtraOperatorMutator
44;44;AbstractProgressiveService_16_IntentPayloadReplacementOperatorMutator
45;44;AbstractProgressiveService_17_RandomActionIntentDefinitionOperatorMutator
46;44;CopyService_0_LengthyGUICreationOperatorMutator
47;44;CopyService_1_RandomActionIntentDefinitionOperatorMutator
48;43;CopyService_2_NullIntentOperatorMutator
49;44;CopyService_3_InvalidKeyIntentOperatorMutator
50;44;CopyService_4_RandomActionIntentDefinitionOperatorMutator
51;44;CopyService_5_RandomActionIntentDefinitionOperatorMutator
52;44;CopyService_6_RandomActionIntentDefinitionOperatorMutator
53;44;CopyService_7_NullValueIntentPutExtraOperatorMutator
54;43;CopyService_8_IntentPayloadReplacementOperatorMutator
55;44;CopyService_9_RandomActionIntentDefinitionOperatorMutator
56;43;CopyService_10_NullIntentOperatorMutator
57;43;CopyService_11_InvalidKeyIntentOperatorMutator
58;44;CopyService_12_RandomActionIntentDefinitionOperatorMutator
59;44;CopyService_13_NullIntentOperatorMutator
60;44;CopyService_14_InvalidKeyIntentOperatorMutator
61;44;CopyService_15_RandomActionIntentDefinitionOperatorMutator
62;44;CopyService_16_NullValueIntentPutExtraOperatorMutator
63;43;CopyService_17_IntentPayloadReplacementOperatorMutator
64;43;CopyService_18_RandomActionIntentDefinitionOperatorMutator
65;44;EncryptService_0_LengthyGUICreationOperatorMutator
66;43;EncryptService_1_RandomActionIntentDefinitionOperatorMutator
67;43;EncryptService_2_NullIntentOperatorMutator
68;43;EncryptService_3_InvalidKeyIntentOperatorMutator
69;44;EncryptService_4_RandomActionIntentDefinitionOperatorMutator
70;44;EncryptService_5_RandomActionIntentDefinitionOperatorMutator
71;44;EncryptService_6_RandomActionIntentDefinitionOperatorMutator
72;44;EncryptService_7_NullValueIntentPutExtraOperatorMutator
73;43;EncryptService_8_IntentPayloadReplacementOperatorMutator
74;44;EncryptService_9_RandomActionIntentDefinitionOperatorMutator
75;44;EncryptService_10_NullIntentOperatorMutator
76;44;EncryptService_11_InvalidKeyIntentOperatorMutator
77;44;EncryptService_12_RandomActionIntentDefinitionOperatorMutator
78;43;EncryptService_13_NullIntentOperatorMutator
79;43;EncryptService_14_InvalidKeyIntentOperatorMutator
80;43;EncryptService_15_RandomActionIntentDefinitionOperatorMutator
81;44;EncryptService_16_NullValueIntentPutExtraOperatorMutator
82;44;EncryptService_17_IntentPayloadReplacementOperatorMutator
83;44;EncryptService_18_RandomActionIntentDefinitionOperatorMutator
84;44;DecryptService_0_LengthyGUICreationOperatorMutator
85;44;DecryptService_1_RandomActionIntentDefinitionOperatorMutator
86;43;DecryptService_2_NullIntentOperatorMutator
87;44;DecryptService_3_InvalidKeyIntentOperatorMutator
88;44;DecryptService_4_RandomActionIntentDefinitionOperatorMutator
89;43;DecryptService_5_RandomActionIntentDefinitionOperatorMutator
90;44;DecryptService_6_RandomActionIntentDefinitionOperatorMutator
91;43;DecryptService_7_NullValueIntentPutExtraOperatorMutator
92;44;DecryptService_8_IntentPayloadReplacementOperatorMutator
93;44;DecryptService_9_RandomActionIntentDefinitionOperatorMutator
94;44;DecryptService_10_NullIntentOperatorMutator
95;44;DecryptService_11_InvalidKeyIntentOperatorMutator
96;43;DecryptService_12_RandomActionIntentDefinitionOperatorMutator
97;44;DecryptService_13_NullIntentOperatorMutator
98;44;DecryptService_14_InvalidKeyIntentOperatorMutator
99;44;DecryptService_15_RandomActionIntentDefinitionOperatorMutator
100;43;DecryptService_16_NullValueIntentPutExtraOperatorMutator
101;44;DecryptService_17_IntentPayloadReplacementOperatorMutator
102;44;DecryptService_18_RandomActionIntentDefinitionOperatorMutator
103;44;CalculateHashCallback_0_BinaryMutator
104;44;LoadFolderSpaceDataTask_0_BinaryMutator
105;44;LoadFolderSpaceDataTask_1_BinaryMutator
