2024-03-16 11:33:18.841884957+00:00 - START TIME
2024-03-16 11:33:18.842856514+00:00 - STARTING EMULATOR
2024-03-16 11:34:03.883322441+00:00 - BEGIN BUILDING APP AND TEST APK
2024-03-16 11:35:40.384389226+00:00 - END BUILDING APP AND TEST APK
2024-03-16 11:35:40.385442915+00:00 - BEGIN INSTALLING TEST APK
2024-03-16 11:35:40.487191590+00:00 - END INSTALLING TEST APK
2024-03-16 11:35:40.498755344+00:00 - BEGIN RUNNING MUTANT ORIGINAL_PROGRAM
2024-03-16 11:35:40.514051486+00:00 - BEGIN BUILDING MUTANT APK ORIGINAL_PROGRAM
2024-03-16 11:35:43.090997651+00:00 - END BUILDING MUTANT APK ORIGINAL_PROGRAM
2024-03-16 11:35:43.092029623+00:00 - BEGIN INSTALLING MUTANT APK ORIGINAL_PROGRAM
2024-03-16 11:35:43.379640696+00:00 - END INSTALLING MUTANT APK ORIGINAL_PROGRAM
2024-03-16 11:36:24.329801874+00:00 - END RUNNING MUTANT ORIGINAL_PROGRAM
2024-03-16 11:36:24.333147054+00:00 - BEGIN RUNNING MUTANT PackageReceiver_0_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:36:24.340002091+00:00 - BEGIN BUILDING MUTANT APK PackageReceiver_0_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:36:28.626547572+00:00 - END BUILDING MUTANT APK PackageReceiver_0_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:36:28.627420743+00:00 - BEGIN INSTALLING MUTANT APK PackageReceiver_0_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:36:28.922600390+00:00 - END INSTALLING MUTANT APK PackageReceiver_0_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:37:09.266796178+00:00 - END RUNNING MUTANT PackageReceiver_0_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:37:09.274202824+00:00 - BEGIN RUNNING MUTANT PackageReceiver_1_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:37:09.282044610+00:00 - BEGIN BUILDING MUTANT APK PackageReceiver_1_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:37:13.108065687+00:00 - END BUILDING MUTANT APK PackageReceiver_1_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:37:13.109068044+00:00 - BEGIN INSTALLING MUTANT APK PackageReceiver_1_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:37:13.432191907+00:00 - END INSTALLING MUTANT APK PackageReceiver_1_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:37:53.845430659+00:00 - END RUNNING MUTANT PackageReceiver_1_RandomActionIntentDefinitionOperatorMutator
