Id_Index;ExecTime(s);Mutant
1;428;ORIGINAL_PROGRAM
2;421;HorizontalItemViewHolder_0_InvalidViewFocusOperatorMutator
3;421;HorizontalItemViewHolder_1_ViewComponentNotVisibleOperatorMutator
4;422;HorizontalItemViewHolder_2_InvalidViewFocusOperatorMutator
5;426;HorizontalItemViewHolder_3_ViewComponentNotVisibleOperatorMutator
6;424;HorizontalItemViewHolder_4_InvalidViewFocusOperatorMutator
7;424;HorizontalItemViewHolder_5_ViewComponentNotVisibleOperatorMutator
8;427;HorizontalItemViewHolder_6_InvalidViewFocusOperatorMutator
9;421;HorizontalItemViewHolder_7_ViewComponentNotVisibleOperatorMutator
10;420;HorizontalItemViewHolder_8_InvalidViewFocusOperatorMutator
11;421;HorizontalItemViewHolder_9_ViewComponentNotVisibleOperatorMutator
12;422;HorizontalItemViewHolder_10_InvalidViewFocusOperatorMutator
13;418;HorizontalItemViewHolder_11_ViewComponentNotVisibleOperatorMutator
14;423;HorizontalItemViewHolder_12_InvalidViewFocusOperatorMutator
15;424;HorizontalItemViewHolder_13_ViewComponentNotVisibleOperatorMutator
16;421;HorizontalItemViewHolder_14_InvalidViewFocusOperatorMutator
17;424;HorizontalItemViewHolder_15_ViewComponentNotVisibleOperatorMutator
18;421;HorizontalItemViewHolder_16_BinaryMutator
19;422;HorizontalItemViewHolder_17_BinaryMutator
20;422;HorizontalItemViewHolder_18_BinaryMutator
21;420;HorizontalItemViewHolder_19_BinaryMutator
22;417;HorizontalItemViewHolder_20_BinaryMutator
23;422;HorizontalItemViewHolder_21_BinaryMutator
24;423;DownloadLogItemViewHolder_0_InvalidViewFocusOperatorMutator
25;421;DownloadLogItemViewHolder_1_ViewComponentNotVisibleOperatorMutator
26;419;DownloadLogItemViewHolder_2_InvalidViewFocusOperatorMutator
27;423;DownloadLogItemViewHolder_3_ViewComponentNotVisibleOperatorMutator
28;423;DownloadLogItemViewHolder_4_InvalidViewFocusOperatorMutator
29;422;DownloadLogItemViewHolder_5_ViewComponentNotVisibleOperatorMutator
30;423;DownloadLogItemViewHolder_6_InvalidViewFocusOperatorMutator
31;422;DownloadLogItemViewHolder_7_ViewComponentNotVisibleOperatorMutator
32;419;DownloadLogItemViewHolder_8_InvalidViewFocusOperatorMutator
33;419;DownloadLogItemViewHolder_9_ViewComponentNotVisibleOperatorMutator
34;425;DownloadLogItemViewHolder_10_InvalidViewFocusOperatorMutator
35;417;DownloadLogItemViewHolder_11_ViewComponentNotVisibleOperatorMutator
36;421;DownloadLogItemViewHolder_12_InvalidViewFocusOperatorMutator
37;421;DownloadLogItemViewHolder_13_ViewComponentNotVisibleOperatorMutator
38;421;DownloadLogItemViewHolder_14_InvalidViewFocusOperatorMutator
39;421;DownloadLogItemViewHolder_15_ViewComponentNotVisibleOperatorMutator
