Id_Index;ExecTime(s);Mutant
1;422;ORIGINAL_PROGRAM
2;424;HorizontalItemViewHolder_0_InvalidViewFocusOperatorMutator
3;420;HorizontalItemViewHolder_1_ViewComponentNotVisibleOperatorMutator
4;418;HorizontalItemViewHolder_2_InvalidViewFocusOperatorMutator
5;417;HorizontalItemViewHolder_3_ViewComponentNotVisibleOperatorMutator
6;419;HorizontalItemViewHolder_4_InvalidViewFocusOperatorMutator
7;417;HorizontalItemViewHolder_5_ViewComponentNotVisibleOperatorMutator
8;419;HorizontalItemViewHolder_6_InvalidViewFocusOperatorMutator
9;420;HorizontalItemViewHolder_7_ViewComponentNotVisibleOperatorMutator
10;419;HorizontalItemViewHolder_8_InvalidViewFocusOperatorMutator
11;419;HorizontalItemViewHolder_9_ViewComponentNotVisibleOperatorMutator
12;420;HorizontalItemViewHolder_10_InvalidViewFocusOperatorMutator
13;421;HorizontalItemViewHolder_11_ViewComponentNotVisibleOperatorMutator
14;422;HorizontalItemViewHolder_12_InvalidViewFocusOperatorMutator
15;416;HorizontalItemViewHolder_13_ViewComponentNotVisibleOperatorMutator
16;419;HorizontalItemViewHolder_14_InvalidViewFocusOperatorMutator
17;420;HorizontalItemViewHolder_15_ViewComponentNotVisibleOperatorMutator
18;423;HorizontalItemViewHolder_16_BinaryMutator
19;422;HorizontalItemViewHolder_17_BinaryMutator
20;418;HorizontalItemViewHolder_18_BinaryMutator
21;414;HorizontalItemViewHolder_19_BinaryMutator
22;417;HorizontalItemViewHolder_20_BinaryMutator
23;416;HorizontalItemViewHolder_21_BinaryMutator
24;417;DownloadLogItemViewHolder_0_InvalidViewFocusOperatorMutator
25;417;DownloadLogItemViewHolder_1_ViewComponentNotVisibleOperatorMutator
26;421;DownloadLogItemViewHolder_2_InvalidViewFocusOperatorMutator
27;424;DownloadLogItemViewHolder_3_ViewComponentNotVisibleOperatorMutator
28;420;DownloadLogItemViewHolder_4_InvalidViewFocusOperatorMutator
29;419;DownloadLogItemViewHolder_5_ViewComponentNotVisibleOperatorMutator
30;427;DownloadLogItemViewHolder_6_InvalidViewFocusOperatorMutator
31;2326;DownloadLogItemViewHolder_7_ViewComponentNotVisibleOperatorMutator
32;417;DownloadLogItemViewHolder_8_InvalidViewFocusOperatorMutator
33;417;DownloadLogItemViewHolder_9_ViewComponentNotVisibleOperatorMutator
34;422;DownloadLogItemViewHolder_10_InvalidViewFocusOperatorMutator
35;417;DownloadLogItemViewHolder_11_ViewComponentNotVisibleOperatorMutator
36;418;DownloadLogItemViewHolder_12_InvalidViewFocusOperatorMutator
37;415;DownloadLogItemViewHolder_13_ViewComponentNotVisibleOperatorMutator
38;414;DownloadLogItemViewHolder_14_InvalidViewFocusOperatorMutator
39;417;DownloadLogItemViewHolder_15_ViewComponentNotVisibleOperatorMutator
40;415;EpisodeItemViewHolder_0_InvalidViewFocusOperatorMutator
41;414;EpisodeItemViewHolder_1_ViewComponentNotVisibleOperatorMutator
42;415;EpisodeItemViewHolder_2_InvalidViewFocusOperatorMutator
43;416;EpisodeItemViewHolder_3_ViewComponentNotVisibleOperatorMutator
