2024-03-20 13:29:56.999773728+00:00 - START TIME
2024-03-20 13:29:57.000768753+00:00 - STARTING EMULATOR
2024-03-20 13:30:42.012869533+00:00 - BEGIN BUILDING APP AND TEST APK
2024-03-20 13:32:43.305859348+00:00 - END BUILDING APP AND TEST APK
2024-03-20 13:32:43.306889887+00:00 - BEGIN INSTALLING TEST APK
2024-03-20 13:32:43.416493867+00:00 - END INSTALLING TEST APK
2024-03-20 13:32:43.423537945+00:00 - BEGIN RUNNING MUTANT ORIGINAL_PROGRAM
2024-03-20 13:32:43.432240221+00:00 - BEGIN BUILDING MUTANT APK ORIGINAL_PROGRAM
2024-03-20 13:32:47.226469121+00:00 - END BUILDING MUTANT APK ORIGINAL_PROGRAM
2024-03-20 13:32:47.227340156+00:00 - BEGIN INSTALLING MUTANT APK ORIGINAL_PROGRAM
2024-03-20 13:32:47.414821873+00:00 - END INSTALLING MUTANT APK ORIGINAL_PROGRAM
2024-03-20 13:39:46.018903176+00:00 - END RUNNING MUTANT ORIGINAL_PROGRAM
2024-03-20 13:39:46.021938540+00:00 - BEGIN RUNNING MUTANT HorizontalItemViewHolder_0_InvalidViewFocusOperatorMutator
2024-03-20 13:39:46.029237837+00:00 - BEGIN BUILDING MUTANT APK HorizontalItemViewHolder_0_InvalidViewFocusOperatorMutator
2024-03-20 13:39:49.786441014+00:00 - END BUILDING MUTANT APK HorizontalItemViewHolder_0_InvalidViewFocusOperatorMutator
2024-03-20 13:39:49.787399386+00:00 - BEGIN INSTALLING MUTANT APK HorizontalItemViewHolder_0_InvalidViewFocusOperatorMutator
2024-03-20 13:39:49.964756704+00:00 - END INSTALLING MUTANT APK HorizontalItemViewHolder_0_InvalidViewFocusOperatorMutator
2024-03-20 13:46:50.322401994+00:00 - END RUNNING MUTANT HorizontalItemViewHolder_0_InvalidViewFocusOperatorMutator
2024-03-20 13:46:50.329655449+00:00 - BEGIN RUNNING MUTANT HorizontalItemViewHolder_1_ViewComponentNotVisibleOperatorMutator
2024-03-20 13:46:50.336957675+00:00 - BEGIN BUILDING MUTANT APK HorizontalItemViewHolder_1_ViewComponentNotVisibleOperatorMutator
2024-03-20 13:46:53.904694256+00:00 - END BUILDING MUTANT APK HorizontalItemViewHolder_1_ViewComponentNotVisibleOperatorMutator
2024-03-20 13:46:53.905809057+00:00 - BEGIN INSTALLING MUTANT APK HorizontalItemViewHolder_1_ViewComponentNotVisibleOperatorMutator
2024-03-20 13:46:54.082792894+00:00 - END INSTALLING MUTANT APK HorizontalItemViewHolder_1_ViewComponentNotVisibleOperatorMutator
2024-03-20 13:53:50.989000626+00:00 - END RUNNING MUTANT HorizontalItemViewHolder_1_ViewComponentNotVisibleOperatorMutator
2024-03-20 13:53:50.992897872+00:00 - BEGIN RUNNING MUTANT HorizontalItemViewHolder_2_InvalidViewFocusOperatorMutator
2024-03-20 13:53:50.999736650+00:00 - BEGIN BUILDING MUTANT APK HorizontalItemViewHolder_2_InvalidViewFocusOperatorMutator
2024-03-20 13:53:54.328047501+00:00 - END BUILDING MUTANT APK HorizontalItemViewHolder_2_InvalidViewFocusOperatorMutator
2024-03-20 13:53:54.328987073+00:00 - BEGIN INSTALLING MUTANT APK HorizontalItemViewHolder_2_InvalidViewFocusOperatorMutator
2024-03-20 13:53:54.520346909+00:00 - END INSTALLING MUTANT APK HorizontalItemViewHolder_2_InvalidViewFocusOperatorMutator
2024-03-20 14:00:49.916839301+00:00 - END RUNNING MUTANT HorizontalItemViewHolder_2_InvalidViewFocusOperatorMutator
2024-03-20 14:00:49.924157057+00:00 - BEGIN RUNNING MUTANT HorizontalItemViewHolder_3_ViewComponentNotVisibleOperatorMutator
2024-03-20 14:00:49.932033331+00:00 - BEGIN BUILDING MUTANT APK HorizontalItemViewHolder_3_ViewComponentNotVisibleOperatorMutator
2024-03-20 14:00:53.209791057+00:00 - END BUILDING MUTANT APK HorizontalItemViewHolder_3_ViewComponentNotVisibleOperatorMutator
2024-03-20 14:00:53.210774182+00:00 - BEGIN INSTALLING MUTANT APK HorizontalItemViewHolder_3_ViewComponentNotVisibleOperatorMutator
2024-03-20 14:00:53.386308208+00:00 - END INSTALLING MUTANT APK HorizontalItemViewHolder_3_ViewComponentNotVisibleOperatorMutator
2024-03-20 14:07:47.826422458+00:00 - END RUNNING MUTANT HorizontalItemViewHolder_3_ViewComponentNotVisibleOperatorMutator
2024-03-20 14:07:47.829721547+00:00 - BEGIN RUNNING MUTANT HorizontalItemViewHolder_4_InvalidViewFocusOperatorMutator
2024-03-20 14:07:47.836570488+00:00 - BEGIN BUILDING MUTANT APK HorizontalItemViewHolder_4_InvalidViewFocusOperatorMutator
2024-03-20 14:07:51.025592866+00:00 - END BUILDING MUTANT APK HorizontalItemViewHolder_4_InvalidViewFocusOperatorMutator
2024-03-20 14:07:51.026529387+00:00 - BEGIN INSTALLING MUTANT APK HorizontalItemViewHolder_4_InvalidViewFocusOperatorMutator
2024-03-20 14:07:51.202214021+00:00 - END INSTALLING MUTANT APK HorizontalItemViewHolder_4_InvalidViewFocusOperatorMutator
2024-03-20 14:14:47.815615491+00:00 - END RUNNING MUTANT HorizontalItemViewHolder_4_InvalidViewFocusOperatorMutator
2024-03-20 14:14:47.818748917+00:00 - BEGIN RUNNING MUTANT HorizontalItemViewHolder_5_ViewComponentNotVisibleOperatorMutator
2024-03-20 14:14:47.825614680+00:00 - BEGIN BUILDING MUTANT APK HorizontalItemViewHolder_5_ViewComponentNotVisibleOperatorMutator
2024-03-20 14:14:51.079891464+00:00 - END BUILDING MUTANT APK HorizontalItemViewHolder_5_ViewComponentNotVisibleOperatorMutator
2024-03-20 14:14:51.080819884+00:00 - BEGIN INSTALLING MUTANT APK HorizontalItemViewHolder_5_ViewComponentNotVisibleOperatorMutator
2024-03-20 14:14:51.265810601+00:00 - END INSTALLING MUTANT APK HorizontalItemViewHolder_5_ViewComponentNotVisibleOperatorMutator
2024-03-20 14:21:45.262303132+00:00 - END RUNNING MUTANT HorizontalItemViewHolder_5_ViewComponentNotVisibleOperatorMutator
2024-03-20 14:21:45.266515919+00:00 - BEGIN RUNNING MUTANT HorizontalItemViewHolder_6_InvalidViewFocusOperatorMutator
2024-03-20 14:21:45.274920695+00:00 - BEGIN BUILDING MUTANT APK HorizontalItemViewHolder_6_InvalidViewFocusOperatorMutator
2024-03-20 14:21:48.437376435+00:00 - END BUILDING MUTANT APK HorizontalItemViewHolder_6_InvalidViewFocusOperatorMutator
2024-03-20 14:21:48.438238750+00:00 - BEGIN INSTALLING MUTANT APK HorizontalItemViewHolder_6_InvalidViewFocusOperatorMutator
2024-03-20 14:21:48.614902770+00:00 - END INSTALLING MUTANT APK HorizontalItemViewHolder_6_InvalidViewFocusOperatorMutator
