Id_Index;ExecTime(s);Mutant
1;274;ORIGINAL_PROGRAM
2;246;AlarmRestoreOnRebootService_0_NullIntentOperatorMutator
3;242;AlarmRestoreOnRebootService_1_InvalidKeyIntentOperatorMutator
4;245;AlarmRestoreOnRebootService_2_RandomActionIntentDefinitionOperatorMutator
5;243;CategoryMenuTask_0_InvalidViewFocusOperatorMutator
6;237;CategoryMenuTask_1_ViewComponentNotVisibleOperatorMutator
7;241;CategoryMenuTask_2_InvalidViewFocusOperatorMutator
8;243;CategoryMenuTask_3_ViewComponentNotVisibleOperatorMutator
9;242;CategoryMenuTask_4_InvalidViewFocusOperatorMutator
10;235;CategoryMenuTask_5_ViewComponentNotVisibleOperatorMutator
11;239;CategoryMenuTask_6_BinaryMutator
12;235;CategoryMenuTask_7_BuggyGUIListenerOperatorMutator
13;238;CategoryMenuTask_8_InvalidKeyIntentOperatorMutator
14;236;CategoryMenuTask_9_RandomActionIntentDefinitionOperatorMutator
15;240;MainMenuTask_0_InvalidViewFocusOperatorMutator
16;241;MainMenuTask_1_ViewComponentNotVisibleOperatorMutator
17;245;MainMenuTask_2_RandomActionIntentDefinitionOperatorMutator
18;246;DataBackupIntentService_0_NullIntentOperatorMutator
19;243;DataBackupIntentService_1_InvalidKeyIntentOperatorMutator
20;243;DataBackupIntentService_2_RandomActionIntentDefinitionOperatorMutator
21;243;DataBackupIntentService_3_RandomActionIntentDefinitionOperatorMutator
22;241;DataBackupIntentService_4_NullIntentOperatorMutator
23;246;DataBackupIntentService_5_RandomActionIntentDefinitionOperatorMutator
24;244;DataBackupIntentService_6_RandomActionIntentDefinitionOperatorMutator
25;245;DataBackupIntentService_7_RandomActionIntentDefinitionOperatorMutator
26;244;DbHelper_0_BinaryMutator
27;242;DbHelper_1_BinaryMutator
28;242;DbHelper_2_BinaryMutator
29;241;NotificationListener_0_LengthyGUICreationOperatorMutator
30;274;RecyclerViewItemClickSupport_0_LengthyGUIListenerOperatorMutator
31;243;AttachmentAdapter_0_InvalidViewFocusOperatorMutator
32;244;AttachmentAdapter_1_ViewComponentNotVisibleOperatorMutator
33;242;AttachmentAdapter_2_InvalidViewFocusOperatorMutator
34;242;AttachmentAdapter_3_ViewComponentNotVisibleOperatorMutator
35;292;NavDrawerAdapter_0_InvalidViewFocusOperatorMutator
36;242;NavDrawerAdapter_1_ViewComponentNotVisibleOperatorMutator
37;236;NavDrawerAdapter_2_InvalidViewFocusOperatorMutator
38;239;NavDrawerAdapter_3_ViewComponentNotVisibleOperatorMutator
39;238;VerticalSeekBar_0_BinaryMutator
40;234;VerticalSeekBar_1_BinaryMutator
41;240;VerticalSeekBar_2_BinaryMutator
42;240;SketchView_0_BinaryMutator
43;240;SketchView_1_BinaryMutator
44;238;SketchView_2_BinaryMutator
45;239;SketchView_3_BinaryMutator
46;238;SketchView_4_BinaryMutator
47;242;SketchView_5_BinaryMutator
48;237;NonScrollableListView_0_BinaryMutator
49;140;NonScrollableListView_1_BinaryMutator
50;238;NonScrollableListView_2_BinaryMutator
51;241;Fab_0_InvalidViewFocusOperatorMutator
52;219;Fab_1_ViewComponentNotVisibleOperatorMutator
53;228;Fab_2_BuggyGUIListenerOperatorMutator
54;242;Fab_3_InvalidViewFocusOperatorMutator
55;238;Fab_4_ViewComponentNotVisibleOperatorMutator
56;237;Fab_5_BinaryMutator
57;241;Fab_6_BuggyGUIListenerOperatorMutator
58;240;Fab_7_BuggyGUIListenerOperatorMutator
59;241;UndoBarController_0_InvalidViewFocusOperatorMutator
60;239;UndoBarController_1_ViewComponentNotVisibleOperatorMutator
61;238;UndoBarController_2_InvalidViewFocusOperatorMutator
62;239;UndoBarController_3_ViewComponentNotVisibleOperatorMutator
63;237;UndoBarController_4_BuggyGUIListenerOperatorMutator
64;240;UndoBarController_5_LengthyGUIListenerOperatorMutator
65;238;Stats_0_BinaryMutator
66;237;Stats_1_BinaryMutator
67;238;DateUtils_0_BinaryMutator
68;239;DateUtils_1_BinaryMutator
69;237;AnimationsHelper_0_BinaryMutator
70;253;AnimationsHelper_1_BinaryMutator
71;238;AnimationsHelper_2_BinaryMutator
72;240;AnimationsHelper_3_BinaryMutator
73;238;AnimationsHelper_4_BinaryMutator
74;235;AnimationsHelper_5_BinaryMutator
75;239;AnimationsHelper_6_BinaryMutator
76;240;AnimationsHelper_7_BinaryMutator
77;239;AnimationsHelper_8_BinaryMutator
78;243;AnimationsHelper_9_BinaryMutator
79;239;PasswordHelper_0_InvalidViewFocusOperatorMutator
80;240;PasswordHelper_1_ViewComponentNotVisibleOperatorMutator
81;240;PasswordHelper_2_InvalidViewFocusOperatorMutator
82;233;PasswordHelper_3_ViewComponentNotVisibleOperatorMutator
83;238;Display_0_BinaryMutator
84;239;Display_1_BinaryMutator
85;241;Display_2_BinaryMutator
86;242;Display_3_BinaryMutator
87;238;ReminderHelper_0_NullIntentOperatorMutator
88;240;ReminderHelper_1_InvalidKeyIntentOperatorMutator
89;240;ReminderHelper_2_RandomActionIntentDefinitionOperatorMutator
90;240;ReminderHelper_3_NullValueIntentPutExtraOperatorMutator
91;238;ReminderHelper_4_IntentPayloadReplacementOperatorMutator
92;239;ReminderHelper_5_RandomActionIntentDefinitionOperatorMutator
93;239;ReminderHelper_6_BinaryMutator
94;239;ReminderHelper_7_NullIntentOperatorMutator
95;238;ReminderHelper_8_InvalidKeyIntentOperatorMutator
96;241;ReminderHelper_9_RandomActionIntentDefinitionOperatorMutator
97;242;StorageHelper_0_BinaryMutator
98;242;StorageHelper_1_BinaryMutator
99;246;StorageHelper_2_BinaryMutator
100;6221;ColorsUtil_0_BinaryMutator
101;240;ColorsUtil_1_BinaryMutator
102;238;ColorsUtil_2_BinaryMutator
103;249;ColorsUtil_3_BinaryMutator
104;240;ColorsUtil_4_BinaryMutator
105;238;ListRemoteViewsFactory_0_NullIntentOperatorMutator
106;237;ListRemoteViewsFactory_1_RandomActionIntentDefinitionOperatorMutator
107;239;ListRemoteViewsFactory_2_RandomActionIntentDefinitionOperatorMutator
108;239;WidgetConfigurationActivity_0_LengthyGUICreationOperatorMutator
109;241;WidgetConfigurationActivity_1_FindViewByIdReturnsNullOperatorMutator
110;237;WidgetConfigurationActivity_2_InvalidIDFindViewOperatorMutator
111;241;WidgetConfigurationActivity_3_InvalidViewFocusOperatorMutator
112;238;WidgetConfigurationActivity_4_ViewComponentNotVisibleOperatorMutator
113;239;WidgetConfigurationActivity_5_FindViewByIdReturnsNullOperatorMutator
114;238;WidgetConfigurationActivity_6_InvalidIDFindViewOperatorMutator
115;239;WidgetConfigurationActivity_7_InvalidViewFocusOperatorMutator
116;240;WidgetConfigurationActivity_8_ViewComponentNotVisibleOperatorMutator
117;238;WidgetConfigurationActivity_9_FindViewByIdReturnsNullOperatorMutator
118;238;WidgetConfigurationActivity_10_InvalidIDFindViewOperatorMutator
119;237;WidgetConfigurationActivity_11_InvalidViewFocusOperatorMutator
120;240;WidgetConfigurationActivity_12_ViewComponentNotVisibleOperatorMutator
121;239;WidgetConfigurationActivity_13_BuggyGUIListenerOperatorMutator
122;238;WidgetConfigurationActivity_14_InvalidIDFindViewOperatorMutator
123;237;WidgetConfigurationActivity_15_InvalidViewFocusOperatorMutator
124;241;WidgetConfigurationActivity_16_ViewComponentNotVisibleOperatorMutator
125;238;WidgetConfigurationActivity_17_InvalidIDFindViewOperatorMutator
126;238;WidgetConfigurationActivity_18_InvalidViewFocusOperatorMutator
127;239;WidgetConfigurationActivity_19_ViewComponentNotVisibleOperatorMutator
128;238;WidgetConfigurationActivity_20_RandomActionIntentDefinitionOperatorMutator
129;237;WidgetConfigurationActivity_21_NullValueIntentPutExtraOperatorMutator
130;241;WidgetConfigurationActivity_22_IntentPayloadReplacementOperatorMutator
