Id_Index;ExecTime(s);Mutant
1;261;ORIGINAL_PROGRAM
2;258;AlarmRestoreOnRebootService_0_NullIntentOperatorMutator
3;254;AlarmRestoreOnRebootService_1_InvalidKeyIntentOperatorMutator
4;256;AlarmRestoreOnRebootService_2_RandomActionIntentDefinitionOperatorMutator
5;252;CategoryMenuTask_0_InvalidViewFocusOperatorMutator
6;248;CategoryMenuTask_1_ViewComponentNotVisibleOperatorMutator
7;255;CategoryMenuTask_2_InvalidViewFocusOperatorMutator
8;256;CategoryMenuTask_3_ViewComponentNotVisibleOperatorMutator
9;260;CategoryMenuTask_4_InvalidViewFocusOperatorMutator
10;247;CategoryMenuTask_5_ViewComponentNotVisibleOperatorMutator
11;255;CategoryMenuTask_6_BinaryMutator
12;250;CategoryMenuTask_7_BuggyGUIListenerOperatorMutator
13;248;CategoryMenuTask_8_InvalidKeyIntentOperatorMutator
14;250;CategoryMenuTask_9_RandomActionIntentDefinitionOperatorMutator
15;254;MainMenuTask_0_InvalidViewFocusOperatorMutator
16;255;MainMenuTask_1_ViewComponentNotVisibleOperatorMutator
17;255;MainMenuTask_2_RandomActionIntentDefinitionOperatorMutator
18;255;DataBackupIntentService_0_NullIntentOperatorMutator
19;256;DataBackupIntentService_1_InvalidKeyIntentOperatorMutator
20;253;DataBackupIntentService_2_RandomActionIntentDefinitionOperatorMutator
21;255;DataBackupIntentService_3_RandomActionIntentDefinitionOperatorMutator
22;254;DataBackupIntentService_4_NullIntentOperatorMutator
23;252;DataBackupIntentService_5_RandomActionIntentDefinitionOperatorMutator
24;254;DataBackupIntentService_6_RandomActionIntentDefinitionOperatorMutator
25;253;DataBackupIntentService_7_RandomActionIntentDefinitionOperatorMutator
26;255;DbHelper_0_BinaryMutator
27;260;DbHelper_1_BinaryMutator
28;257;DbHelper_2_BinaryMutator
29;257;NotificationListener_0_LengthyGUICreationOperatorMutator
30;279;RecyclerViewItemClickSupport_0_LengthyGUIListenerOperatorMutator
31;258;AttachmentAdapter_0_InvalidViewFocusOperatorMutator
