2024-04-24 16:41:14.408949441+01:00 - START TIME
2024-04-24 16:41:14.410043300+01:00 - STARTING EMULATOR
2024-04-24 16:41:59.422158195+01:00 - BEGIN BUILDING APP AND TEST APK
2024-04-24 16:42:52.616741921+01:00 - END BUILDING APP AND TEST APK
2024-04-24 16:42:52.620887467+01:00 - BEGIN INSTALLING TEST APK
2024-04-24 16:42:52.723353330+01:00 - END INSTALLING TEST APK
2024-04-24 16:42:52.735717279+01:00 - BEGIN RUNNING MUTANT ORIGINAL_PROGRAM
2024-04-24 16:42:52.747550082+01:00 - BEGIN BUILDING MUTANT APK ORIGINAL_PROGRAM
2024-04-24 16:42:54.626465388+01:00 - END BUILDING MUTANT APK ORIGINAL_PROGRAM
2024-04-24 16:42:54.627426380+01:00 - BEGIN INSTALLING MUTANT APK ORIGINAL_PROGRAM
2024-04-24 16:42:54.868674985+01:00 - END INSTALLING MUTANT APK ORIGINAL_PROGRAM
2024-04-24 16:47:13.917416955+01:00 - END RUNNING MUTANT ORIGINAL_PROGRAM
2024-04-24 16:47:13.926589620+01:00 - BEGIN RUNNING MUTANT AlarmRestoreOnRebootService_0_NullIntentOperatorMutator
2024-04-24 16:47:13.935000573+01:00 - BEGIN BUILDING MUTANT APK AlarmRestoreOnRebootService_0_NullIntentOperatorMutator
2024-04-24 16:47:17.444025287+01:00 - END BUILDING MUTANT APK AlarmRestoreOnRebootService_0_NullIntentOperatorMutator
2024-04-24 16:47:17.445066268+01:00 - BEGIN INSTALLING MUTANT APK AlarmRestoreOnRebootService_0_NullIntentOperatorMutator
2024-04-24 16:47:17.709601399+01:00 - END INSTALLING MUTANT APK AlarmRestoreOnRebootService_0_NullIntentOperatorMutator
2024-04-24 16:51:32.438064589+01:00 - END RUNNING MUTANT AlarmRestoreOnRebootService_0_NullIntentOperatorMutator
2024-04-24 16:51:32.441344971+01:00 - BEGIN RUNNING MUTANT AlarmRestoreOnRebootService_1_InvalidKeyIntentOperatorMutator
2024-04-24 16:51:32.448853848+01:00 - BEGIN BUILDING MUTANT APK AlarmRestoreOnRebootService_1_InvalidKeyIntentOperatorMutator
2024-04-24 16:51:35.598780271+01:00 - END BUILDING MUTANT APK AlarmRestoreOnRebootService_1_InvalidKeyIntentOperatorMutator
