Id_Index;ExecTime(s);Mutant
1;126;ORIGINAL_PROGRAM
2;115;KeePass_0_LengthyGUICreationOperatorMutator
3;115;KeePass_1_NullIntentOperatorMutator
4;115;KeePass_2_InvalidKeyIntentOperatorMutator
5;115;KeePass_3_RandomActionIntentDefinitionOperatorMutator
6;115;FileNameView_0_InvalidViewFocusOperatorMutator
7;115;FileNameView_1_ViewComponentNotVisibleOperatorMutator
8;115;FileNameView_2_InvalidViewFocusOperatorMutator
9;115;FileNameView_3_ViewComponentNotVisibleOperatorMutator
10;115;GroupViewOnlyView_0_FindViewByIdReturnsNullOperatorMutator
11;115;GroupViewOnlyView_1_InvalidIDFindViewOperatorMutator
12;115;GroupViewOnlyView_2_InvalidViewFocusOperatorMutator
13;118;GroupViewOnlyView_3_ViewComponentNotVisibleOperatorMutator
14;117;GroupViewOnlyView_4_FindViewByIdReturnsNullOperatorMutator
15;117;GroupViewOnlyView_5_InvalidIDFindViewOperatorMutator
16;117;GroupViewOnlyView_6_InvalidViewFocusOperatorMutator
17;117;GroupViewOnlyView_7_ViewComponentNotVisibleOperatorMutator
18;116;GroupViewOnlyView_8_FindViewByIdReturnsNullOperatorMutator
19;117;GroupViewOnlyView_9_InvalidIDFindViewOperatorMutator
20;117;GroupViewOnlyView_10_InvalidViewFocusOperatorMutator
21;117;GroupViewOnlyView_11_ViewComponentNotVisibleOperatorMutator
22;116;GroupViewOnlyView_12_FindViewByIdReturnsNullOperatorMutator
23;116;GroupViewOnlyView_13_InvalidIDFindViewOperatorMutator
24;116;GroupViewOnlyView_14_InvalidViewFocusOperatorMutator
25;116;GroupViewOnlyView_15_ViewComponentNotVisibleOperatorMutator
26;116;PwGroupView_0_InvalidViewFocusOperatorMutator
27;115;PwGroupView_1_ViewComponentNotVisibleOperatorMutator
28;115;PwGroupView_2_InvalidViewFocusOperatorMutator
29;115;PwGroupView_3_ViewComponentNotVisibleOperatorMutator
30;114;PwGroupView_4_BinaryMutator
31;114;PwGroupView_5_InvalidViewFocusOperatorMutator
32;114;PwGroupView_6_ViewComponentNotVisibleOperatorMutator
