Id_Index;ExecTime(s);Mutant
1;102;ORIGINAL_PROGRAM
2;121;KeePass_0_LengthyGUICreationOperatorMutator
3;120;KeePass_1_NullIntentOperatorMutator
4;121;KeePass_2_InvalidKeyIntentOperatorMutator
5;120;KeePass_3_RandomActionIntentDefinitionOperatorMutator
6;120;FileNameView_0_InvalidViewFocusOperatorMutator
7;120;FileNameView_1_ViewComponentNotVisibleOperatorMutator
8;120;FileNameView_2_InvalidViewFocusOperatorMutator
9;120;FileNameView_3_ViewComponentNotVisibleOperatorMutator
10;120;GroupViewOnlyView_0_FindViewByIdReturnsNullOperatorMutator
11;120;GroupViewOnlyView_1_InvalidIDFindViewOperatorMutator
12;120;GroupViewOnlyView_2_InvalidViewFocusOperatorMutator
13;120;GroupViewOnlyView_3_ViewComponentNotVisibleOperatorMutator
14;120;GroupViewOnlyView_4_FindViewByIdReturnsNullOperatorMutator
15;120;GroupViewOnlyView_5_InvalidIDFindViewOperatorMutator
16;120;GroupViewOnlyView_6_InvalidViewFocusOperatorMutator
17;120;GroupViewOnlyView_7_ViewComponentNotVisibleOperatorMutator
18;120;GroupViewOnlyView_8_FindViewByIdReturnsNullOperatorMutator
19;120;GroupViewOnlyView_9_InvalidIDFindViewOperatorMutator
20;120;GroupViewOnlyView_10_InvalidViewFocusOperatorMutator
21;120;GroupViewOnlyView_11_ViewComponentNotVisibleOperatorMutator
22;120;GroupViewOnlyView_12_FindViewByIdReturnsNullOperatorMutator
23;120;GroupViewOnlyView_13_InvalidIDFindViewOperatorMutator
24;120;GroupViewOnlyView_14_InvalidViewFocusOperatorMutator
25;120;GroupViewOnlyView_15_ViewComponentNotVisibleOperatorMutator
26;120;PwGroupView_0_InvalidViewFocusOperatorMutator
27;120;PwGroupView_1_ViewComponentNotVisibleOperatorMutator
28;121;PwGroupView_2_InvalidViewFocusOperatorMutator
29;120;PwGroupView_3_ViewComponentNotVisibleOperatorMutator
30;120;PwGroupView_4_BinaryMutator
31;120;PwGroupView_5_InvalidViewFocusOperatorMutator
32;120;PwGroupView_6_ViewComponentNotVisibleOperatorMutator
33;120;EntrySection_0_InvalidViewFocusOperatorMutator
