2024-03-12 01:15:50.388700740+00:00 - START TIME
2024-03-12 01:15:50.390027670+00:00 - STARTING EMULATOR
2024-03-12 01:16:35.431111563+00:00 - BEGIN BUILDING APP AND TEST APK
2024-03-12 01:17:12.420332923+00:00 - END BUILDING APP AND TEST APK
2024-03-12 01:17:12.424460244+00:00 - BEGIN INSTALLING TEST APK
2024-03-12 01:17:12.490719828+00:00 - END INSTALLING TEST APK
2024-03-12 01:17:12.498605962+00:00 - BEGIN RUNNING MUTANT ORIGINAL_PROGRAM
2024-03-12 01:17:12.499823986+00:00 - BEGIN BUILDING MUTANT APK ORIGINAL_PROGRAM
2024-03-12 01:17:14.133746431+00:00 - END BUILDING MUTANT APK ORIGINAL_PROGRAM
2024-03-12 01:17:14.134565418+00:00 - BEGIN INSTALLING MUTANT APK ORIGINAL_PROGRAM
2024-03-12 01:17:14.259940950+00:00 - END INSTALLING MUTANT APK ORIGINAL_PROGRAM
2024-03-12 01:18:55.291702736+00:00 - END RUNNING MUTANT ORIGINAL_PROGRAM
2024-03-12 01:18:55.295599694+00:00 - BEGIN RUNNING MUTANT KeePass_0_LengthyGUICreationOperatorMutator
2024-03-12 01:18:55.296561491+00:00 - BEGIN BUILDING MUTANT APK KeePass_0_LengthyGUICreationOperatorMutator
2024-03-12 01:19:01.082114498+00:00 - END BUILDING MUTANT APK KeePass_0_LengthyGUICreationOperatorMutator
2024-03-12 01:19:01.083070581+00:00 - BEGIN INSTALLING MUTANT APK KeePass_0_LengthyGUICreationOperatorMutator
2024-03-12 01:19:01.250841184+00:00 - END INSTALLING MUTANT APK KeePass_0_LengthyGUICreationOperatorMutator
2024-03-12 01:20:57.036725361+00:00 - END RUNNING MUTANT KeePass_0_LengthyGUICreationOperatorMutator
2024-03-12 01:20:57.039723412+00:00 - BEGIN RUNNING MUTANT KeePass_1_NullIntentOperatorMutator
2024-03-12 01:20:57.040631215+00:00 - BEGIN BUILDING MUTANT APK KeePass_1_NullIntentOperatorMutator
2024-03-12 01:21:01.998748970+00:00 - END BUILDING MUTANT APK KeePass_1_NullIntentOperatorMutator
2024-03-12 01:21:01.999628759+00:00 - BEGIN INSTALLING MUTANT APK KeePass_1_NullIntentOperatorMutator
2024-03-12 01:21:02.150956565+00:00 - END INSTALLING MUTANT APK KeePass_1_NullIntentOperatorMutator
2024-03-12 01:22:57.859255053+00:00 - END RUNNING MUTANT KeePass_1_NullIntentOperatorMutator
2024-03-12 01:22:57.862321994+00:00 - BEGIN RUNNING MUTANT KeePass_2_InvalidKeyIntentOperatorMutator
2024-03-12 01:22:57.863234820+00:00 - BEGIN BUILDING MUTANT APK KeePass_2_InvalidKeyIntentOperatorMutator
2024-03-12 01:23:02.806798798+00:00 - END BUILDING MUTANT APK KeePass_2_InvalidKeyIntentOperatorMutator
2024-03-12 01:23:02.807697590+00:00 - BEGIN INSTALLING MUTANT APK KeePass_2_InvalidKeyIntentOperatorMutator
2024-03-12 01:23:02.966794181+00:00 - END INSTALLING MUTANT APK KeePass_2_InvalidKeyIntentOperatorMutator
2024-03-12 01:24:58.999391308+00:00 - END RUNNING MUTANT KeePass_2_InvalidKeyIntentOperatorMutator
2024-03-12 01:24:59.002440171+00:00 - BEGIN RUNNING MUTANT KeePass_3_RandomActionIntentDefinitionOperatorMutator
2024-03-12 01:24:59.003424375+00:00 - BEGIN BUILDING MUTANT APK KeePass_3_RandomActionIntentDefinitionOperatorMutator
2024-03-12 01:25:03.823462290+00:00 - END BUILDING MUTANT APK KeePass_3_RandomActionIntentDefinitionOperatorMutator
2024-03-12 01:25:03.824434767+00:00 - BEGIN INSTALLING MUTANT APK KeePass_3_RandomActionIntentDefinitionOperatorMutator
2024-03-12 01:25:03.982415468+00:00 - END INSTALLING MUTANT APK KeePass_3_RandomActionIntentDefinitionOperatorMutator
2024-03-12 01:26:59.836152386+00:00 - END RUNNING MUTANT KeePass_3_RandomActionIntentDefinitionOperatorMutator
2024-03-12 01:26:59.839741905+00:00 - BEGIN RUNNING MUTANT FileNameView_0_InvalidViewFocusOperatorMutator
2024-03-12 01:26:59.840682763+00:00 - BEGIN BUILDING MUTANT APK FileNameView_0_InvalidViewFocusOperatorMutator
2024-03-12 01:27:04.383011456+00:00 - END BUILDING MUTANT APK FileNameView_0_InvalidViewFocusOperatorMutator
2024-03-12 01:27:04.383966039+00:00 - BEGIN INSTALLING MUTANT APK FileNameView_0_InvalidViewFocusOperatorMutator
2024-03-12 01:27:04.532609994+00:00 - END INSTALLING MUTANT APK FileNameView_0_InvalidViewFocusOperatorMutator
2024-03-12 01:29:00.471628008+00:00 - END RUNNING MUTANT FileNameView_0_InvalidViewFocusOperatorMutator
2024-03-12 01:29:00.474671166+00:00 - BEGIN RUNNING MUTANT FileNameView_1_ViewComponentNotVisibleOperatorMutator
2024-03-12 01:29:00.475633080+00:00 - BEGIN BUILDING MUTANT APK FileNameView_1_ViewComponentNotVisibleOperatorMutator
2024-03-12 01:29:04.887326205+00:00 - END BUILDING MUTANT APK FileNameView_1_ViewComponentNotVisibleOperatorMutator
2024-03-12 01:29:04.888230255+00:00 - BEGIN INSTALLING MUTANT APK FileNameView_1_ViewComponentNotVisibleOperatorMutator
2024-03-12 01:29:05.038628346+00:00 - END INSTALLING MUTANT APK FileNameView_1_ViewComponentNotVisibleOperatorMutator
2024-03-12 01:31:01.226000651+00:00 - END RUNNING MUTANT FileNameView_1_ViewComponentNotVisibleOperatorMutator
2024-03-12 01:31:01.229159525+00:00 - BEGIN RUNNING MUTANT FileNameView_2_InvalidViewFocusOperatorMutator
2024-03-12 01:31:01.230101174+00:00 - BEGIN BUILDING MUTANT APK FileNameView_2_InvalidViewFocusOperatorMutator
2024-03-12 01:31:05.509590045+00:00 - END BUILDING MUTANT APK FileNameView_2_InvalidViewFocusOperatorMutator
2024-03-12 01:31:05.510429600+00:00 - BEGIN INSTALLING MUTANT APK FileNameView_2_InvalidViewFocusOperatorMutator
2024-03-12 01:31:05.668898140+00:00 - END INSTALLING MUTANT APK FileNameView_2_InvalidViewFocusOperatorMutator
2024-03-12 01:33:01.496200727+00:00 - END RUNNING MUTANT FileNameView_2_InvalidViewFocusOperatorMutator
2024-03-12 01:33:01.499965108+00:00 - BEGIN RUNNING MUTANT FileNameView_3_ViewComponentNotVisibleOperatorMutator
2024-03-12 01:33:01.501159719+00:00 - BEGIN BUILDING MUTANT APK FileNameView_3_ViewComponentNotVisibleOperatorMutator
2024-03-12 01:33:05.706831162+00:00 - END BUILDING MUTANT APK FileNameView_3_ViewComponentNotVisibleOperatorMutator
2024-03-12 01:33:05.707781587+00:00 - BEGIN INSTALLING MUTANT APK FileNameView_3_ViewComponentNotVisibleOperatorMutator
2024-03-12 01:33:05.863237635+00:00 - END INSTALLING MUTANT APK FileNameView_3_ViewComponentNotVisibleOperatorMutator
2024-03-12 01:35:01.945599842+00:00 - END RUNNING MUTANT FileNameView_3_ViewComponentNotVisibleOperatorMutator
2024-03-12 01:35:01.948629948+00:00 - BEGIN RUNNING MUTANT GroupViewOnlyView_0_FindViewByIdReturnsNullOperatorMutator
2024-03-12 01:35:01.949557527+00:00 - BEGIN BUILDING MUTANT APK GroupViewOnlyView_0_FindViewByIdReturnsNullOperatorMutator
2024-03-12 01:35:06.120904439+00:00 - END BUILDING MUTANT APK GroupViewOnlyView_0_FindViewByIdReturnsNullOperatorMutator
2024-03-12 01:35:06.121794862+00:00 - BEGIN INSTALLING MUTANT APK GroupViewOnlyView_0_FindViewByIdReturnsNullOperatorMutator
2024-03-12 01:35:06.274740748+00:00 - END INSTALLING MUTANT APK GroupViewOnlyView_0_FindViewByIdReturnsNullOperatorMutator
2024-03-12 01:37:02.379659177+00:00 - END RUNNING MUTANT GroupViewOnlyView_0_FindViewByIdReturnsNullOperatorMutator
2024-03-12 01:37:02.382802915+00:00 - BEGIN RUNNING MUTANT GroupViewOnlyView_1_InvalidIDFindViewOperatorMutator
2024-03-12 01:37:02.383771599+00:00 - BEGIN BUILDING MUTANT APK GroupViewOnlyView_1_InvalidIDFindViewOperatorMutator
2024-03-12 01:37:06.544688279+00:00 - END BUILDING MUTANT APK GroupViewOnlyView_1_InvalidIDFindViewOperatorMutator
2024-03-12 01:37:06.545546212+00:00 - BEGIN INSTALLING MUTANT APK GroupViewOnlyView_1_InvalidIDFindViewOperatorMutator
2024-03-12 01:37:06.687847312+00:00 - END INSTALLING MUTANT APK GroupViewOnlyView_1_InvalidIDFindViewOperatorMutator
2024-03-12 01:39:02.864336671+00:00 - END RUNNING MUTANT GroupViewOnlyView_1_InvalidIDFindViewOperatorMutator
2024-03-12 01:39:02.868334282+00:00 - BEGIN RUNNING MUTANT GroupViewOnlyView_2_InvalidViewFocusOperatorMutator
2024-03-12 01:39:02.869585679+00:00 - BEGIN BUILDING MUTANT APK GroupViewOnlyView_2_InvalidViewFocusOperatorMutator
2024-03-12 01:39:07.052285589+00:00 - END BUILDING MUTANT APK GroupViewOnlyView_2_InvalidViewFocusOperatorMutator
2024-03-12 01:39:07.053313972+00:00 - BEGIN INSTALLING MUTANT APK GroupViewOnlyView_2_InvalidViewFocusOperatorMutator
2024-03-12 01:39:07.207764444+00:00 - END INSTALLING MUTANT APK GroupViewOnlyView_2_InvalidViewFocusOperatorMutator
2024-03-12 01:41:03.211302530+00:00 - END RUNNING MUTANT GroupViewOnlyView_2_InvalidViewFocusOperatorMutator
2024-03-12 01:41:03.214397182+00:00 - BEGIN RUNNING MUTANT GroupViewOnlyView_3_ViewComponentNotVisibleOperatorMutator
2024-03-12 01:41:03.215353019+00:00 - BEGIN BUILDING MUTANT APK GroupViewOnlyView_3_ViewComponentNotVisibleOperatorMutator
2024-03-12 01:41:07.282775496+00:00 - END BUILDING MUTANT APK GroupViewOnlyView_3_ViewComponentNotVisibleOperatorMutator
2024-03-12 01:41:07.283657962+00:00 - BEGIN INSTALLING MUTANT APK GroupViewOnlyView_3_ViewComponentNotVisibleOperatorMutator
2024-03-12 01:41:07.428485758+00:00 - END INSTALLING MUTANT APK GroupViewOnlyView_3_ViewComponentNotVisibleOperatorMutator
2024-03-12 01:43:03.263063853+00:00 - END RUNNING MUTANT GroupViewOnlyView_3_ViewComponentNotVisibleOperatorMutator
2024-03-12 01:43:03.266166080+00:00 - BEGIN RUNNING MUTANT GroupViewOnlyView_4_FindViewByIdReturnsNullOperatorMutator
2024-03-12 01:43:03.267085624+00:00 - BEGIN BUILDING MUTANT APK GroupViewOnlyView_4_FindViewByIdReturnsNullOperatorMutator
2024-03-12 01:43:07.473291085+00:00 - END BUILDING MUTANT APK GroupViewOnlyView_4_FindViewByIdReturnsNullOperatorMutator
2024-03-12 01:43:07.474152862+00:00 - BEGIN INSTALLING MUTANT APK GroupViewOnlyView_4_FindViewByIdReturnsNullOperatorMutator
2024-03-12 01:43:07.631911157+00:00 - END INSTALLING MUTANT APK GroupViewOnlyView_4_FindViewByIdReturnsNullOperatorMutator
2024-03-12 01:45:03.771681262+00:00 - END RUNNING MUTANT GroupViewOnlyView_4_FindViewByIdReturnsNullOperatorMutator
2024-03-12 01:45:03.775826388+00:00 - BEGIN RUNNING MUTANT GroupViewOnlyView_5_InvalidIDFindViewOperatorMutator
2024-03-12 01:45:03.777167121+00:00 - BEGIN BUILDING MUTANT APK GroupViewOnlyView_5_InvalidIDFindViewOperatorMutator
2024-03-12 01:45:07.874932549+00:00 - END BUILDING MUTANT APK GroupViewOnlyView_5_InvalidIDFindViewOperatorMutator
2024-03-12 01:45:07.875822677+00:00 - BEGIN INSTALLING MUTANT APK GroupViewOnlyView_5_InvalidIDFindViewOperatorMutator
2024-03-12 01:45:08.027068634+00:00 - END INSTALLING MUTANT APK GroupViewOnlyView_5_InvalidIDFindViewOperatorMutator
2024-03-12 01:47:03.939321671+00:00 - END RUNNING MUTANT GroupViewOnlyView_5_InvalidIDFindViewOperatorMutator
2024-03-12 01:47:03.942457702+00:00 - BEGIN RUNNING MUTANT GroupViewOnlyView_6_InvalidViewFocusOperatorMutator
2024-03-12 01:47:03.943459882+00:00 - BEGIN BUILDING MUTANT APK GroupViewOnlyView_6_InvalidViewFocusOperatorMutator
2024-03-12 01:47:08.006444970+00:00 - END BUILDING MUTANT APK GroupViewOnlyView_6_InvalidViewFocusOperatorMutator
2024-03-12 01:47:08.007422290+00:00 - BEGIN INSTALLING MUTANT APK GroupViewOnlyView_6_InvalidViewFocusOperatorMutator
2024-03-12 01:47:08.158355270+00:00 - END INSTALLING MUTANT APK GroupViewOnlyView_6_InvalidViewFocusOperatorMutator
2024-03-12 01:49:04.291065427+00:00 - END RUNNING MUTANT GroupViewOnlyView_6_InvalidViewFocusOperatorMutator
2024-03-12 01:49:04.294068066+00:00 - BEGIN RUNNING MUTANT GroupViewOnlyView_7_ViewComponentNotVisibleOperatorMutator
2024-03-12 01:49:04.295039084+00:00 - BEGIN BUILDING MUTANT APK GroupViewOnlyView_7_ViewComponentNotVisibleOperatorMutator
2024-03-12 01:49:08.359452790+00:00 - END BUILDING MUTANT APK GroupViewOnlyView_7_ViewComponentNotVisibleOperatorMutator
2024-03-12 01:49:08.360396437+00:00 - BEGIN INSTALLING MUTANT APK GroupViewOnlyView_7_ViewComponentNotVisibleOperatorMutator
2024-03-12 01:49:08.529662194+00:00 - END INSTALLING MUTANT APK GroupViewOnlyView_7_ViewComponentNotVisibleOperatorMutator
2024-03-12 01:51:04.792708967+00:00 - END RUNNING MUTANT GroupViewOnlyView_7_ViewComponentNotVisibleOperatorMutator
2024-03-12 01:51:04.795799731+00:00 - BEGIN RUNNING MUTANT GroupViewOnlyView_8_FindViewByIdReturnsNullOperatorMutator
2024-03-12 01:51:04.796756442+00:00 - BEGIN BUILDING MUTANT APK GroupViewOnlyView_8_FindViewByIdReturnsNullOperatorMutator
2024-03-12 01:51:09.000832790+00:00 - END BUILDING MUTANT APK GroupViewOnlyView_8_FindViewByIdReturnsNullOperatorMutator
2024-03-12 01:51:09.001809363+00:00 - BEGIN INSTALLING MUTANT APK GroupViewOnlyView_8_FindViewByIdReturnsNullOperatorMutator
2024-03-12 01:51:09.144432172+00:00 - END INSTALLING MUTANT APK GroupViewOnlyView_8_FindViewByIdReturnsNullOperatorMutator
2024-03-12 01:53:05.112869585+00:00 - END RUNNING MUTANT GroupViewOnlyView_8_FindViewByIdReturnsNullOperatorMutator
2024-03-12 01:53:05.116212974+00:00 - BEGIN RUNNING MUTANT GroupViewOnlyView_9_InvalidIDFindViewOperatorMutator
2024-03-12 01:53:05.117134191+00:00 - BEGIN BUILDING MUTANT APK GroupViewOnlyView_9_InvalidIDFindViewOperatorMutator
2024-03-12 01:53:09.213296158+00:00 - END BUILDING MUTANT APK GroupViewOnlyView_9_InvalidIDFindViewOperatorMutator
2024-03-12 01:53:09.214146577+00:00 - BEGIN INSTALLING MUTANT APK GroupViewOnlyView_9_InvalidIDFindViewOperatorMutator
2024-03-12 01:53:09.384485370+00:00 - END INSTALLING MUTANT APK GroupViewOnlyView_9_InvalidIDFindViewOperatorMutator
2024-03-12 01:55:05.471198715+00:00 - END RUNNING MUTANT GroupViewOnlyView_9_InvalidIDFindViewOperatorMutator
2024-03-12 01:55:05.474448287+00:00 - BEGIN RUNNING MUTANT GroupViewOnlyView_10_InvalidViewFocusOperatorMutator
2024-03-12 01:55:05.475409639+00:00 - BEGIN BUILDING MUTANT APK GroupViewOnlyView_10_InvalidViewFocusOperatorMutator
2024-03-12 01:55:09.732566978+00:00 - END BUILDING MUTANT APK GroupViewOnlyView_10_InvalidViewFocusOperatorMutator
2024-03-12 01:55:09.733457873+00:00 - BEGIN INSTALLING MUTANT APK GroupViewOnlyView_10_InvalidViewFocusOperatorMutator
2024-03-12 01:55:09.881329086+00:00 - END INSTALLING MUTANT APK GroupViewOnlyView_10_InvalidViewFocusOperatorMutator
2024-03-12 01:57:06.083489953+00:00 - END RUNNING MUTANT GroupViewOnlyView_10_InvalidViewFocusOperatorMutator
2024-03-12 01:57:06.086542920+00:00 - BEGIN RUNNING MUTANT GroupViewOnlyView_11_ViewComponentNotVisibleOperatorMutator
2024-03-12 01:57:06.087476140+00:00 - BEGIN BUILDING MUTANT APK GroupViewOnlyView_11_ViewComponentNotVisibleOperatorMutator
2024-03-12 01:57:10.182835296+00:00 - END BUILDING MUTANT APK GroupViewOnlyView_11_ViewComponentNotVisibleOperatorMutator
2024-03-12 01:57:10.183803630+00:00 - BEGIN INSTALLING MUTANT APK GroupViewOnlyView_11_ViewComponentNotVisibleOperatorMutator
2024-03-12 01:57:10.330576364+00:00 - END INSTALLING MUTANT APK GroupViewOnlyView_11_ViewComponentNotVisibleOperatorMutator
2024-03-12 01:59:06.360674136+00:00 - END RUNNING MUTANT GroupViewOnlyView_11_ViewComponentNotVisibleOperatorMutator
2024-03-12 01:59:06.364580457+00:00 - BEGIN RUNNING MUTANT GroupViewOnlyView_12_FindViewByIdReturnsNullOperatorMutator
2024-03-12 01:59:06.365538555+00:00 - BEGIN BUILDING MUTANT APK GroupViewOnlyView_12_FindViewByIdReturnsNullOperatorMutator
2024-03-12 01:59:10.429088626+00:00 - END BUILDING MUTANT APK GroupViewOnlyView_12_FindViewByIdReturnsNullOperatorMutator
2024-03-12 01:59:10.430022403+00:00 - BEGIN INSTALLING MUTANT APK GroupViewOnlyView_12_FindViewByIdReturnsNullOperatorMutator
2024-03-12 01:59:10.593177864+00:00 - END INSTALLING MUTANT APK GroupViewOnlyView_12_FindViewByIdReturnsNullOperatorMutator
2024-03-12 02:01:06.708778359+00:00 - END RUNNING MUTANT GroupViewOnlyView_12_FindViewByIdReturnsNullOperatorMutator
2024-03-12 02:01:06.711893536+00:00 - BEGIN RUNNING MUTANT GroupViewOnlyView_13_InvalidIDFindViewOperatorMutator
2024-03-12 02:01:06.712893834+00:00 - BEGIN BUILDING MUTANT APK GroupViewOnlyView_13_InvalidIDFindViewOperatorMutator
2024-03-12 02:01:10.861327198+00:00 - END BUILDING MUTANT APK GroupViewOnlyView_13_InvalidIDFindViewOperatorMutator
2024-03-12 02:01:10.862287879+00:00 - BEGIN INSTALLING MUTANT APK GroupViewOnlyView_13_InvalidIDFindViewOperatorMutator
2024-03-12 02:01:11.003445469+00:00 - END INSTALLING MUTANT APK GroupViewOnlyView_13_InvalidIDFindViewOperatorMutator
2024-03-12 02:03:07.320008047+00:00 - END RUNNING MUTANT GroupViewOnlyView_13_InvalidIDFindViewOperatorMutator
2024-03-12 02:03:07.323371601+00:00 - BEGIN RUNNING MUTANT GroupViewOnlyView_14_InvalidViewFocusOperatorMutator
2024-03-12 02:03:07.324327607+00:00 - BEGIN BUILDING MUTANT APK GroupViewOnlyView_14_InvalidViewFocusOperatorMutator
2024-03-12 02:03:11.344041163+00:00 - END BUILDING MUTANT APK GroupViewOnlyView_14_InvalidViewFocusOperatorMutator
2024-03-12 02:03:11.344936829+00:00 - BEGIN INSTALLING MUTANT APK GroupViewOnlyView_14_InvalidViewFocusOperatorMutator
2024-03-12 02:03:11.500815457+00:00 - END INSTALLING MUTANT APK GroupViewOnlyView_14_InvalidViewFocusOperatorMutator
2024-03-12 02:05:07.751834207+00:00 - END RUNNING MUTANT GroupViewOnlyView_14_InvalidViewFocusOperatorMutator
2024-03-12 02:05:07.754936486+00:00 - BEGIN RUNNING MUTANT GroupViewOnlyView_15_ViewComponentNotVisibleOperatorMutator
2024-03-12 02:05:07.755856425+00:00 - BEGIN BUILDING MUTANT APK GroupViewOnlyView_15_ViewComponentNotVisibleOperatorMutator
2024-03-12 02:05:11.871133390+00:00 - END BUILDING MUTANT APK GroupViewOnlyView_15_ViewComponentNotVisibleOperatorMutator
2024-03-12 02:05:11.872027062+00:00 - BEGIN INSTALLING MUTANT APK GroupViewOnlyView_15_ViewComponentNotVisibleOperatorMutator
2024-03-12 02:05:12.019211346+00:00 - END INSTALLING MUTANT APK GroupViewOnlyView_15_ViewComponentNotVisibleOperatorMutator
2024-03-12 02:07:08.194399557+00:00 - END RUNNING MUTANT GroupViewOnlyView_15_ViewComponentNotVisibleOperatorMutator
2024-03-12 02:07:08.197867882+00:00 - BEGIN RUNNING MUTANT PwGroupView_0_InvalidViewFocusOperatorMutator
2024-03-12 02:07:08.198847681+00:00 - BEGIN BUILDING MUTANT APK PwGroupView_0_InvalidViewFocusOperatorMutator
2024-03-12 02:07:12.276885534+00:00 - END BUILDING MUTANT APK PwGroupView_0_InvalidViewFocusOperatorMutator
2024-03-12 02:07:12.277836174+00:00 - BEGIN INSTALLING MUTANT APK PwGroupView_0_InvalidViewFocusOperatorMutator
