Id_Index;ExecTime(s);Mutant
1;174;ORIGINAL_PROGRAM
2;160;CenteredImageSpan_0_BinaryMutator
3;157;CenteredImageSpan_1_BinaryMutator
4;156;CenteredImageSpan_2_BinaryMutator
5;156;CenteredImageSpan_3_BinaryMutator
6;157;CenteredImageSpan_4_BinaryMutator
7;157;CenteredImageSpan_5_BinaryMutator
8;157;CenteredImageSpan_6_BinaryMutator
9;155;CenteredImageSpan_7_BinaryMutator
10;157;CenteredImageSpan_8_BinaryMutator
11;157;CenteredImageSpan_9_BinaryMutator
12;156;CenteredImageSpan_10_BinaryMutator
13;156;CenteredImageSpan_11_BinaryMutator
14;155;CenteredImageSpan_12_BinaryMutator
15;154;CenteredImageSpan_13_BinaryMutator
16;153;CenteredImageSpan_14_BinaryMutator
17;157;CenteredImageSpan_15_BinaryMutator
18;158;CenteredImageSpan_16_BinaryMutator
19;155;MorphRectangleToCircle_0_BinaryMutator
20;156;MorphRectangleToCircle_1_BinaryMutator
21;152;SpinningImageButton_0_BinaryMutator
22;156;SpinningImageButton_1_BinaryMutator
23;154;SimplenoteEditText_0_BinaryMutator
24;153;SimplenoteEditText_1_BinaryMutator
25;157;SimplenoteEditText_2_BinaryMutator
26;156;SimplenoteEditText_3_BinaryMutator
27;155;SimplenoteEditText_4_BinaryMutator
28;154;SimplenoteEditText_5_BinaryMutator
29;157;SimplenoteEditText_6_BinaryMutator
30;155;SimplenoteEditText_7_BinaryMutator
31;156;MorphCircleToRectangle_0_BinaryMutator
32;155;MorphCircleToRectangle_1_BinaryMutator
33;154;Note_0_BinaryMutator
34;154;Note_1_BinaryMutator
35;156;Note_2_BinaryMutator
36;155;Note_3_BinaryMutator
37;155;Note_4_BinaryMutator
38;154;Note_5_BinaryMutator
39;158;Note_6_BinaryMutator
40;157;Note_7_BinaryMutator
41;155;Note_8_BinaryMutator
42;158;Note_9_BinaryMutator
43;156;ThemeUtils_0_BinaryMutator
44;154;AutoBullet_0_BinaryMutator
45;155;AutoBullet_1_BinaryMutator
46;157;AutoBullet_2_BinaryMutator
47;155;IconResizer_0_BinaryMutator
48;155;IconResizer_1_BinaryMutator
49;156;IconResizer_2_BinaryMutator
50;159;IconResizer_3_BinaryMutator
51;155;IconResizer_4_BinaryMutator
52;154;IconResizer_5_BinaryMutator
53;157;IconResizer_6_BinaryMutator
54;157;IconResizer_7_BinaryMutator
55;156;IconResizer_8_BinaryMutator
56;156;IconResizer_9_BinaryMutator
57;154;IconResizer_10_BinaryMutator
58;154;IconResizer_11_BinaryMutator
59;156;IconResizer_12_BinaryMutator
60;154;IconResizer_13_BinaryMutator
61;157;IconResizer_14_BinaryMutator
62;158;UndoBarController_0_LengthyGUIListenerOperatorMutator
63;156;SearchTokenizer_0_BinaryMutator
64;156;SimplenoteLinkify_0_NullIntentOperatorMutator
65;153;SimplenoteLinkify_1_InvalidKeyIntentOperatorMutator
66;155;SimplenoteLinkify_2_RandomActionIntentDefinitionOperatorMutator
67;154;SimplenoteLinkify_3_NullValueIntentPutExtraOperatorMutator
