Id_Index;ExecTime(s);Mutant
1;170;ORIGINAL_PROGRAM
2;170;CenteredImageSpan_0_BinaryMutator
3;168;CenteredImageSpan_1_BinaryMutator
4;170;CenteredImageSpan_2_BinaryMutator
5;169;CenteredImageSpan_3_BinaryMutator
6;168;CenteredImageSpan_4_BinaryMutator
7;168;CenteredImageSpan_5_BinaryMutator
8;169;CenteredImageSpan_6_BinaryMutator
9;169;CenteredImageSpan_7_BinaryMutator
10;169;CenteredImageSpan_8_BinaryMutator
11;172;CenteredImageSpan_9_BinaryMutator
12;169;CenteredImageSpan_10_BinaryMutator
13;169;CenteredImageSpan_11_BinaryMutator
14;170;CenteredImageSpan_12_BinaryMutator
15;169;CenteredImageSpan_13_BinaryMutator
16;169;CenteredImageSpan_14_BinaryMutator
17;169;CenteredImageSpan_15_BinaryMutator
18;170;CenteredImageSpan_16_BinaryMutator
19;169;MorphRectangleToCircle_0_BinaryMutator
20;169;MorphRectangleToCircle_1_BinaryMutator
21;169;SpinningImageButton_0_BinaryMutator
22;169;SpinningImageButton_1_BinaryMutator
23;170;SimplenoteEditText_0_BinaryMutator
24;170;SimplenoteEditText_1_BinaryMutator
25;172;SimplenoteEditText_2_BinaryMutator
26;168;SimplenoteEditText_3_BinaryMutator
27;169;SimplenoteEditText_4_BinaryMutator
28;170;SimplenoteEditText_5_BinaryMutator
29;169;SimplenoteEditText_6_BinaryMutator
30;170;SimplenoteEditText_7_BinaryMutator
31;171;MorphCircleToRectangle_0_BinaryMutator
32;170;MorphCircleToRectangle_1_BinaryMutator
33;172;Note_0_BinaryMutator
34;172;Note_1_BinaryMutator
35;171;Note_2_BinaryMutator
36;171;Note_3_BinaryMutator
37;169;Note_4_BinaryMutator
38;169;Note_5_BinaryMutator
39;169;Note_6_BinaryMutator
40;174;Note_7_BinaryMutator
41;169;Note_8_BinaryMutator
42;171;Note_9_BinaryMutator
43;171;ThemeUtils_0_BinaryMutator
44;170;AutoBullet_0_BinaryMutator
45;168;AutoBullet_1_BinaryMutator
46;168;AutoBullet_2_BinaryMutator
47;169;IconResizer_0_BinaryMutator
48;168;IconResizer_1_BinaryMutator
49;167;IconResizer_2_BinaryMutator
50;167;IconResizer_3_BinaryMutator
51;170;IconResizer_4_BinaryMutator
52;168;IconResizer_5_BinaryMutator
53;167;IconResizer_6_BinaryMutator
54;165;IconResizer_7_BinaryMutator
55;168;IconResizer_8_BinaryMutator
56;167;IconResizer_9_BinaryMutator
57;167;IconResizer_10_BinaryMutator
58;169;IconResizer_11_BinaryMutator
59;167;IconResizer_12_BinaryMutator
60;168;IconResizer_13_BinaryMutator
61;167;IconResizer_14_BinaryMutator
62;168;UndoBarController_0_LengthyGUIListenerOperatorMutator
63;172;SearchTokenizer_0_BinaryMutator
64;171;SimplenoteLinkify_0_NullIntentOperatorMutator
65;168;SimplenoteLinkify_1_InvalidKeyIntentOperatorMutator
66;170;SimplenoteLinkify_2_RandomActionIntentDefinitionOperatorMutator
67;169;SimplenoteLinkify_3_NullValueIntentPutExtraOperatorMutator
68;170;SimplenoteLinkify_4_IntentPayloadReplacementOperatorMutator
69;170;SimplenoteLinkify_5_RandomActionIntentDefinitionOperatorMutator
70;191;SimplenoteLinkify_6_NullValueIntentPutExtraOperatorMutator
71;171;SimplenoteLinkify_7_IntentPayloadReplacementOperatorMutator
72;168;SimplenoteLinkify_8_RandomActionIntentDefinitionOperatorMutator
73;168;SimplenoteLinkify_9_NullValueIntentPutExtraOperatorMutator
74;168;SimplenoteLinkify_10_IntentPayloadReplacementOperatorMutator
75;169;SimplenoteLinkify_11_RandomActionIntentDefinitionOperatorMutator
76;172;SimplenoteLinkify_12_NullValueIntentPutExtraOperatorMutator
77;169;SimplenoteLinkify_13_IntentPayloadReplacementOperatorMutator
78;173;SimplenoteLinkify_14_RandomActionIntentDefinitionOperatorMutator
79;172;SimplenoteLinkify_15_RandomActionIntentDefinitionOperatorMutator
80;170;LinkTokenizer_0_BinaryMutator
81;168;SearchSnippetFormatter_0_BinaryMutator
82;169;SearchSnippetFormatter_1_BinaryMutator
83;171;SimplenoteProgressDialogFragment_0_LengthyGUICreationOperatorMutator
84;171;SimplenoteProgressDialogFragment_1_InvalidViewFocusOperatorMutator
85;169;SimplenoteProgressDialogFragment_2_ViewComponentNotVisibleOperatorMutator
86;166;ShareButtonAdapter_0_InvalidViewFocusOperatorMutator
87;166;ShareButtonAdapter_1_ViewComponentNotVisibleOperatorMutator
88;172;WidgetUtils_0_NullIntentOperatorMutator
89;168;WidgetUtils_1_RandomActionIntentDefinitionOperatorMutator
90;170;WidgetUtils_2_RandomActionIntentDefinitionOperatorMutator
91;170;WidgetUtils_3_NullValueIntentPutExtraOperatorMutator
92;169;WidgetUtils_4_IntentPayloadReplacementOperatorMutator
93;168;WidgetUtils_5_RandomActionIntentDefinitionOperatorMutator
94;171;WidgetUtils_6_NullIntentOperatorMutator
95;172;WidgetUtils_7_RandomActionIntentDefinitionOperatorMutator
96;170;WidgetUtils_8_RandomActionIntentDefinitionOperatorMutator
97;169;WidgetUtils_9_NullValueIntentPutExtraOperatorMutator
98;169;WidgetUtils_10_IntentPayloadReplacementOperatorMutator
99;168;WidgetUtils_11_RandomActionIntentDefinitionOperatorMutator
100;170;WidgetUtils_12_NullIntentOperatorMutator
101;170;WidgetUtils_13_RandomActionIntentDefinitionOperatorMutator
102;171;WidgetUtils_14_RandomActionIntentDefinitionOperatorMutator
103;170;WidgetUtils_15_NullValueIntentPutExtraOperatorMutator
104;171;WidgetUtils_16_IntentPayloadReplacementOperatorMutator
105;169;WidgetUtils_17_RandomActionIntentDefinitionOperatorMutator
106;169;WidgetUtils_18_NullIntentOperatorMutator
107;171;WidgetUtils_19_RandomActionIntentDefinitionOperatorMutator
108;169;WidgetUtils_20_RandomActionIntentDefinitionOperatorMutator
109;171;WidgetUtils_21_NullValueIntentPutExtraOperatorMutator
110;171;WidgetUtils_22_IntentPayloadReplacementOperatorMutator
111;173;WidgetUtils_23_RandomActionIntentDefinitionOperatorMutator
