2024-03-28 06:21:00.410311859+00:00 - START TIME
2024-03-28 06:21:00.412316770+00:00 - STARTING EMULATOR
2024-03-28 06:21:45.423332009+00:00 - BEGIN BUILDING APP AND TEST APK
2024-03-28 06:22:52.598934588+00:00 - END BUILDING APP AND TEST APK
2024-03-28 06:22:52.600044333+00:00 - BEGIN INSTALLING TEST APK
2024-03-28 06:22:52.708210939+00:00 - END INSTALLING TEST APK
2024-03-28 06:22:52.720756067+00:00 - BEGIN RUNNING MUTANT ORIGINAL_PROGRAM
2024-03-28 06:22:52.735212873+00:00 - BEGIN BUILDING MUTANT APK ORIGINAL_PROGRAM
2024-03-28 06:22:54.461427329+00:00 - END BUILDING MUTANT APK ORIGINAL_PROGRAM
2024-03-28 06:22:54.462342253+00:00 - BEGIN INSTALLING MUTANT APK ORIGINAL_PROGRAM
2024-03-28 06:22:54.598058951+00:00 - END INSTALLING MUTANT APK ORIGINAL_PROGRAM
2024-03-28 06:25:42.746910106+00:00 - END RUNNING MUTANT ORIGINAL_PROGRAM
2024-03-28 06:25:42.754841191+00:00 - BEGIN RUNNING MUTANT CenteredImageSpan_0_BinaryMutator
2024-03-28 06:25:42.764396035+00:00 - BEGIN BUILDING MUTANT APK CenteredImageSpan_0_BinaryMutator
2024-03-28 06:25:47.114631889+00:00 - END BUILDING MUTANT APK CenteredImageSpan_0_BinaryMutator
2024-03-28 06:25:47.115556190+00:00 - BEGIN INSTALLING MUTANT APK CenteredImageSpan_0_BinaryMutator
2024-03-28 06:25:47.247326797+00:00 - END INSTALLING MUTANT APK CenteredImageSpan_0_BinaryMutator
2024-03-28 06:28:32.849185780+00:00 - END RUNNING MUTANT CenteredImageSpan_0_BinaryMutator
2024-03-28 06:28:32.853327889+00:00 - BEGIN RUNNING MUTANT CenteredImageSpan_1_BinaryMutator
2024-03-28 06:28:32.863020813+00:00 - BEGIN BUILDING MUTANT APK CenteredImageSpan_1_BinaryMutator
2024-03-28 06:28:36.444363833+00:00 - END BUILDING MUTANT APK CenteredImageSpan_1_BinaryMutator
2024-03-28 06:28:36.445235483+00:00 - BEGIN INSTALLING MUTANT APK CenteredImageSpan_1_BinaryMutator
2024-03-28 06:28:36.573563551+00:00 - END INSTALLING MUTANT APK CenteredImageSpan_1_BinaryMutator
2024-03-28 06:31:21.097874984+00:00 - END RUNNING MUTANT CenteredImageSpan_1_BinaryMutator
2024-03-28 06:31:21.102114496+00:00 - BEGIN RUNNING MUTANT CenteredImageSpan_2_BinaryMutator
2024-03-28 06:31:21.111931839+00:00 - BEGIN BUILDING MUTANT APK CenteredImageSpan_2_BinaryMutator
2024-03-28 06:31:24.771353928+00:00 - END BUILDING MUTANT APK CenteredImageSpan_2_BinaryMutator
2024-03-28 06:31:24.772415805+00:00 - BEGIN INSTALLING MUTANT APK CenteredImageSpan_2_BinaryMutator
2024-03-28 06:31:24.909149971+00:00 - END INSTALLING MUTANT APK CenteredImageSpan_2_BinaryMutator
2024-03-28 06:34:11.252240870+00:00 - END RUNNING MUTANT CenteredImageSpan_2_BinaryMutator
2024-03-28 06:34:11.256230471+00:00 - BEGIN RUNNING MUTANT CenteredImageSpan_3_BinaryMutator
2024-03-28 06:34:11.265378495+00:00 - BEGIN BUILDING MUTANT APK CenteredImageSpan_3_BinaryMutator
2024-03-28 06:34:14.660116255+00:00 - END BUILDING MUTANT APK CenteredImageSpan_3_BinaryMutator
2024-03-28 06:34:14.661281762+00:00 - BEGIN INSTALLING MUTANT APK CenteredImageSpan_3_BinaryMutator
2024-03-28 06:34:14.834569307+00:00 - END INSTALLING MUTANT APK CenteredImageSpan_3_BinaryMutator
2024-03-28 06:37:00.823736088+00:00 - END RUNNING MUTANT CenteredImageSpan_3_BinaryMutator
2024-03-28 06:37:00.827394487+00:00 - BEGIN RUNNING MUTANT CenteredImageSpan_4_BinaryMutator
2024-03-28 06:37:00.836105924+00:00 - BEGIN BUILDING MUTANT APK CenteredImageSpan_4_BinaryMutator
2024-03-28 06:37:04.226250457+00:00 - END BUILDING MUTANT APK CenteredImageSpan_4_BinaryMutator
2024-03-28 06:37:04.227135952+00:00 - BEGIN INSTALLING MUTANT APK CenteredImageSpan_4_BinaryMutator
2024-03-28 06:37:04.352934475+00:00 - END INSTALLING MUTANT APK CenteredImageSpan_4_BinaryMutator
2024-03-28 06:39:49.342280060+00:00 - END RUNNING MUTANT CenteredImageSpan_4_BinaryMutator
2024-03-28 06:39:49.346577537+00:00 - BEGIN RUNNING MUTANT CenteredImageSpan_5_BinaryMutator
